#OTU ID	mgm4546812	mgm4546813	mgm4728000	mgm4728002	mgm4728001	mgm4521707	mgm4521708	mgm4523023	mgm4523024	mgm4523025	mgm4523145	mgm4523146	mgm4523147	mgm4523148	mgm4523775	mgm4523776	mgm4523777	mgm4523779	mgm4530050	mgm4469340	mgm4469538	mgm4469540	mgm4470009	mgm4470010	mgm4470253	mgm4470254	mgm4470255	mgm4470315	mgm4470378	mgm4470381	mgm4470382
Pseudomonadota	0.444166779237223	0.44305335412686103	0.410374956541283	0.395960507009525	0.408144453016302	0.341767640769779	0.417861080485116	0.287250869977855	0.269630484988453	0.45101195952161893	0.243031559548491	0.429558011049724	0.292285048448424	0.392819429778247	0.5126272144741799	0.33000867302688597	0.37917933130699105	0.28299948638931705	0.492490416640483	0.564424300043532	0.412169160113305	0.413021987232635	0.382623497570405	0.383072506036975	0.504643847461165	0.522905182196869	0.5563518680967171	0.5734180828267249	0.564208092729078	0.514150646372807	0.513994212032241
Actinomycetota	0.411791190578523	0.411479233389026	0.45168049151369805	0.47861890199921203	0.47101439510573107	0.48004276550249503	0.37045203969129	0.568174628282189	0.597575057736721	0.399034038638454	0.601474314674038	0.40780386740331503	0.5385747577578811	0.46251319957761294	0.34790802864681497	0.512413269731136	0.47036474164133707	0.583461736004109	0.368943630993527	0.206059918251323	0.377224701891024	0.375911755067152	0.351887217647887	0.351773485953239	0.362449456086714	0.19901198481945298	0.33016369977980603	0.204434544222962	0.31941427291215196	0.18972838662655	0.348173844744076
Chloroflexota	0.0095475515673557	0.00958733886681761	0.0123492992172163	0.0111202373634257	0.00975661726806294	0.0295794725588026	0.0271958838662257	0.0268902246124644	0.00837182448036951	0.0209291628334867	0.0264915917991246	0.0117403314917127	0.0318901018030173	0.00809574093629004	0.0180927252167358	0.0329575021682567	0.0243161094224924	0.0174627632254751	0.0399463750811705	0.0231065000892295	0.0548574670783197	0.054919905702122004	0.0777793983785173	0.0771095178288759	0.0156562853348685	0.0341023508295758	0.00963652606870124	0.0236169274616476	0.00934856699484517	0.0329349400311081	0.0150935986385653
Bacillota	0.0113585890052017	0.011529432977434	0.0089933205269128	0.00805572270171147	0.007572758786808921	0.0203136136849608	0.0216832047041529	0.0237266687757039	0.0101039260969977	0.015409383624655002	0.0126698917300161	0.0145027624309392	0.0199926407457378	0.0211193241816262	0.0079155672823219	0.0172376409366869	0.0159574468085106	0.022085259373395002	0.0112905590816733	0.0216395432993164	0.0163813013348365	0.0163181843580903	0.0243983266974367	0.0246338215712383	0.0132102236890692	0.0279068827683283	0.0113081765883305	0.02023113691843	0.0122259437435872	0.0311519050283252	0.0140575617601406
Cyanobacteriota	0.0021176405283505	0.0021293068800659898	0.00422910381980172	0.0042309276849918104	0.00526677941092249	0.00498930862437634	0.00404263138552003	0.005694400506168929	0.00115473441108545	0.00390984360625575	0.0027643400138217	0.00448895027624309	0.00245308475407825	0.00105596620908131	0.00678477195627591	0.00455333911535126	0.0060790273556231	0.00359527478171546	0.00217851232744716	0.00495034960679414	0.00311724419735962	0.00312644886333604	0.00348406689671333	0.0035138617938936397	0.00297873657991729	0.0051818601221044	0.00253796855891528	0.00485768816219417	0.0026239358774847103	0.00545007248668785	0.0032107325192153
Candidatus Melainabacteria	2.05059097237021e-05	2.2554963091400302e-05	2.06319160816567e-05	1.36460576539438e-05	1.64231547953928e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00102722136620442	6.28417017532835e-05	8.9649224744059e-05	2.46154906513443e-05	2.05389356300696e-05	3.05863813757754e-05	3.1679428707489504e-05	1.72015586905715e-05	7.20638202580154e-05	2.05977715634436e-05	6.49679846292139e-05	1.9968068644514802e-05	0.00010205315014913001	1.42595328483534e-05
Candidatus Margulisbacteria	3.81187376104168e-05	3.8139587734729403e-05	7.02363100652144e-06	4.5486858846479304e-06	4.63217186536719e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.96202566284605e-05	1.13846644262468e-05	1.2081726841217401e-05	1.6936260761793e-05	1.2773963188503802e-05	1.08943205040286e-05	4.3103593425355e-05	1.17124583399973e-05	3.08864189220853e-05	9.43546100784767e-06	4.4512544213984495e-05	1.3324481514035099e-05
Deinococcota	0.00109247221059779	0.0010866823398453	0.00261893641155668	0.00240917898819031	0.0021943861445844	0.00392017106200998	0.00367511944138184	0.0018981335020563101	0.0017321016166281802	0.00229990800367985	0.0027643400138217	0.0031077348066298302	0.00257573899178217	0.00140795494544175	0.00075386355069732	0.00477016478751084	0.00303951367781155	0.00410888546481767	0.00268124594147343	0.0027282575867335302	0.0031578597569343397	0.00315242457604465	0.00328462346774236	0.0032829085394454898	0.00261463692096687	0.0030886418663856	0.00204160265202367	0.0028452782120810603	0.00204749503870294	0.00304711888033942	0.00262772801226787
Armatimonadota	0.00042928883565759	0.00043176643632109	0.00071904422429263	0.00065631039192777	0.00063039648022315	0.00178189593727726	0.0	0.00031635558367605	0.0	0.00183992640294388	0.00069108500345542	0.00276243093922652	0.00159450509015086	0.00035198873636043	0.00113079532604599	0.00102992194275802	0.0	0.0005136106831022	0.00079599488887492	0.00127758539382451	0.00134677503226168	0.00125529141880249	0.0014739602462987302	0.0014797358957562901	0.0008107667996156	0.00151401371906559	0.0006474162316901901	0.00130788008401106	0.0006367839033668299	0.00154852989180195	0.0008303255848746099
Mycoplasmatota	0.00014233326795816002	0.00014854711843578	0.00010711037284945	8.739975021216371e-05	8.632683930911579e-05	0.0007127583749109	0.00036751194413817996	0.0	0.0	0.00022999080036798	0.00023036166781847	0.00034530386740331	0.00012265423770391	0.00035198873636043	0.0	0.00021682567215958	0.0	0.0005136106831022	6.28417017532835e-05	0.00038478656013742003	0.0001744622899914	0.0001736748233425	0.000229524250324	0.00022763202401913	9.6902113956886e-05	0.00035425765846462996	0.00010420049143859	0.00032590497207441	0.0001215638464732	0.00043571628645232996	0.00012038785929347
