source,target,type,weight,a,b,c,signal
0,112,Undirected,-0.01210000,7,0,1,neg
0,113,Undirected,0.00360000,7,0,1,pos
0,114,Undirected,-0.01290000,7,0,1,neg
0,115,Undirected,-0.00550000,6,1,1,neg
0,116,Undirected,-0.00760000,7,0,1,neg
0,117,Undirected,-0.02820000,7,0,1,neg
0,118,Undirected,-0.03190000,7,0,1,neg
0,119,Undirected,-0.04210000,7,0,1,neg
0,120,Undirected,-0.00950000,7,0,1,neg
0,121,Undirected,-0.00870000,5,2,1,neg
0,122,Undirected,-0.02160000,7,1,0,neg
0,123,Undirected,-0.01390000,7,0,1,neg
0,124,Undirected,-0.01350000,7,1,0,neg
0,125,Undirected,-0.01090000,6,1,1,neg
0,126,Undirected,-0.03530000,7,0,1,neg
0,127,Undirected,-0.01770000,7,1,0,neg
0,128,Undirected,-0.02820000,6,1,1,neg
0,129,Undirected,-0.00940000,7,0,1,neg
0,130,Undirected,-0.00110000,7,0,1,neg
0,131,Undirected,-0.02250000,7,0,1,neg
0,132,Undirected,-0.01830000,6,1,1,neg
0,133,Undirected,-0.01360000,7,0,1,neg
0,134,Undirected,-0.01820000,7,1,0,neg
0,135,Undirected,-0.00550000,7,1,0,neg
0,136,Undirected,-0.01430000,6,1,1,neg
0,137,Undirected,-0.02140000,7,0,1,neg
0,138,Undirected,-0.00480000,7,0,1,neg
0,139,Undirected,0.00160000,7,0,1,pos
0,140,Undirected,-0.00960000,7,1,0,neg
0,141,Undirected,-0.00760000,7,1,0,neg
0,142,Undirected,-0.02410000,7,1,0,neg
0,143,Undirected,0.00030000,7,0,1,pos
0,144,Undirected,-0.01400000,7,1,0,neg
0,145,Undirected,-0.00730000,7,0,1,neg
0,146,Undirected,-0.01700000,7,0,1,neg
0,147,Undirected,-0.02310000,7,0,1,neg
0,148,Undirected,-0.01010000,7,0,1,neg
0,149,Undirected,-0.00980000,6,1,1,neg
0,150,Undirected,-0.00190000,6,1,1,neg
0,151,Undirected,-0.01080000,6,1,1,neg
0,152,Undirected,-0.00780000,7,0,1,neg
0,153,Undirected,-0.00160000,6,1,1,neg
0,154,Undirected,0.00730000,7,0,1,pos
0,155,Undirected,-0.00770000,7,0,1,neg
1,2,Undirected,-0.01050000,7,1,0,neg
1,3,Undirected,-0.03800000,7,1,0,neg
1,4,Undirected,-0.01020000,7,1,0,neg
1,5,Undirected,-0.00610000,8,0,0,neg
1,6,Undirected,0.00010000,8,0,0,pos
