#OTU ID	mgm4604833	mgm4604826	mgm4604834	mgm4604824	mgm4604827	mgm4604831	mgm4604825	mgm4604832	mgm4527652	mgm4528934	mgm4529373	mgm4529786	mgm4604830	mgm4527653	mgm4528937	mgm4529374	mgm4529787	mgm4604823	mgm4604828	mgm4604829	mgm4552818	mgm4552830	mgm4637196	mgm4637198	mgm4637199	mgm4543770	mgm4543771	mgm4543772	mgm4543773	mgm4543774	mgm4543776	mgm4543777	mgm4543778	mgm4543779	mgm4543780	mgm4543781	mgm4543782	mgm4543783	mgm4543784	mgm4543785	mgm4543786	mgm4543787	mgm4543788	mgm4543789	mgm4543790
Pseudomonadota	0.436325180568368	0.43215881239802895	0.46843173621070705	0.496989156767151	0.41675767698830796	0.42442157986024603	0.38795747360154204	0.45719544268586604	0.464374439307156	0.47382332483190404	0.470476063029005	0.474656885113553	0.443944109781512	0.421405424601589	0.4443418961185461	0.43494593528838	0.440654664484452	0.404621844452154	0.41123706367522905	0.384091916186618	0.242770167427702	0.23169129720853898	0.5023558705228879	0.5385065653571199	0.527851869145242	0.45293179869011	0.44217246071313104	0.4153018149691571	0.418676846404708	0.410949848797687	0.43334896003882295	0.365792928980456	0.37465465147721	0.3578012199288979	0.400808677002976	0.39991816123665896	0.39243611596830197	0.336493194722056	0.43794593819365896	0.42519206243576196	0.423885827932121	0.442060623502823	0.41701286888356603	0.41388321539339706	0.42510019723081394
Actinomycetota	0.42038566253403203	0.459931884151719	0.410506318658627	0.37833924221974796	0.480002202602742	0.457085505192082	0.5082529738464	0.433640256623426	0.4500897108550129	0.42647808949686994	0.43523134053728496	0.42797219979641293	0.46201047624738106	0.44646424290851006	0.40491206481054204	0.421538716974867	0.413376977632297	0.4715171629150429	0.5166980077835159	0.5650123441159711	0.12024353120243499	0.0911330049261084	0.26203026240183896	0.23434756173550503	0.243000554469315	0.121002531697731	0.11221434068324	0.11952810351161501	0.11725524402703999	0.122145873703494	0.10741318344260199	0.135769624725883	0.14022178723004	0.14227075442206	0.158988575086528	0.160634482709328	0.16325725535814903	0.14537209922646	0.14984012229585	0.13789212934147196	0.157924315009701	0.16785989385385	0.15352704593964497	0.159521500828674	0.17889250649451602
Chloroflexota	0.00531017258060887	0.00626329023984295	0.00437763277442802	0.00575017936519804	0.004675942071547879	0.00576269037257095	0.00543653650423255	0.00496201366775946	0.0051238699882685795	0.00658474379782054	0.00562042086246696	0.00654638632454632	0.004541034986610471	0.005837439517024021	0.00794749525713993	0.00693190544382874	0.00617566830332788	0.00579962653823391	0.00162381272426042	0.00109197948977654	0.0	0.0013136288998358	0.010668454319096	0.00610651852914852	0.00649896401785975	0.0021196207861913	0.00279385686084251	0.0024588741466624897	0.00223212644959584	0.00195590595931595	0.00243352564389487	0.00282263331202266	0.0036489377961179898	0.00270594479058372	0.003980094104542121	0.00419736364822197	0.00340360102823613	0.0041621488674036	0.00460076206742569	0.004283400388519479	0.0049056285974339794	0.00442360270528784	0.00424277593605115	0.00651248512856485	0.005699988610869571
Bacillota	0.009495308597529421	0.0066308735030993	0.007794138627540791	0.00558360254508395	0.00617875956755566	0.00695258970097411	0.0067104779142115	0.00931227222579515	0.00690083500103513	0.00637607233943891	0.00654043022983507	0.00598476605005441	0.0110339183446588	0.0057930483419896105	0.00622981079833872	0.00523006039474503	0.00602291325695581	0.0054169812860962	0.00487243682759323	0.0035449768943470296	0.28310502283105	0.545648604269294	0.0145259528825895	0.0126775403230375	0.0121516327662182	0.0509790690666715	0.0624546904451211	0.0585926495214098	0.0659861662064386	0.0712046506425468	0.0530240030907896	0.0778128372758083	0.0795962214462902	0.0901685944645181	0.0631733700782276	0.0609591574538495	0.0680848643421876	0.108825556945055	0.0567916244291828	0.0625846411037828	0.0657506470117612	0.0500698329933384	0.0562042315314755	0.0728442436370888	0.0635079606406115
Cyanobacteriota	0.00536867448192066	0.00299919193288217	0.00309362727798344	0.00353746207754085	0.00311117637341459	0.00325835420280141	0.0036051752036162297	0.00350321302149509	0.0021565109378234803	0.00176211453744493	0.002074202937339	0.00200077222787743	0.00273403621602145	0.00215297198916855	0.0029739014510588102	0.0029470975240229996	0.00261865793780687	0.00281754453990735	0.0033854398125724603	0.00215230740013927	0.00380517503805175	0.00164203612479475	0.00497222754261636	0.00405213010623152	0.004855983891207279	0.0038864006881685	0.004931073710978021	0.00459433084140374	0.004683545234250771	0.00410931710566225	0.00415207061700358	0.0130297593268576	0.00759031966047097	0.0181942435059506	0.0102169612406465	0.00657747790085359	0.0162345347158131	0.00835201075265092	0.007508222049107391	0.00803406630660752	0.0107651744097536	0.0058473493088649795	0.00681695423705331	0.00649873120009903	0.007607216008417109
Candidatus Melainabacteria	0.0	2.66959911862158e-05	0.0	7.86977102901191e-06	1.37662671390026e-05	3.3964776262697202e-06	7.89866241793854e-06	1.56860284544556e-05	3.450417500517561e-05	0.0	1.67274430430564e-05	0.0	1.44849600848819e-05	0.0	0.0	0.0	4.36442989634479e-05	1.91322626068856e-05	1.09852029316511e-05	3.16515794138128e-05	0.0	0.0	2.6814786439379396e-05	3.3988043761494605e-05	1.75095573000263e-05	6.30992822134713e-05	8.64366893075027e-05	8.000919542302329e-05	7.47309074782361e-05	7.255292584788671e-05	8.127457377964459e-05	0.000107240817505	0.00011315675002057	8.43335829413518e-05	8.679896275239509e-05	0.00010185173603603	0.00010458504507248	0.0001177803258358	6.68194278301287e-05	6.99550314707956e-05	7.935813842002809e-05	7.95672893794598e-05	8.83493332637248e-05	7.73658476202265e-05	6.50807453191578e-05
Candidatus Margulisbacteria	0.0	5.13384445888766e-06	5.00586938185022e-06	7.86977102901191e-06	0.0	0.0	0.0	0.0	0.0	0.0	3.34548860861129e-05	0.0	1.8106200106102299e-06	0.0	0.0	0.0	0.0	1.4030325911716102e-05	2.99596443590484e-06	1.58257897069064e-05	0.0	0.0	1.53227351082168e-05	1.88822465341636e-05	2.91825955000438e-06	3.3481251786739895e-05	4.7400765104114396e-05	4.5075603055224394e-05	3.7978002161070796e-05	3.62764629239434e-05	3.76925559557772e-05	4.5371115098269704e-05	5.43740227371589e-05	4.07127641785836e-05	5.2441039996238704e-05	5.18193042990367e-05	4.40358084515725e-05	5.7158099302671206e-05	3.25948428439652e-05	3.22869376019056e-05	2.9151969215520503e-05	2.7086736810028898e-05	3.41349696700755e-05	2.40693748151816e-05	3.07325741784912e-05
Deinococcota	0.00233557590621695	0.0015801973244456199	0.0016419251572468698	0.0019976102128641897	0.00137203795818726	0.00184881598789948	0.00168241509502091	0.0014901727031732801	0.0011386377751708	0.0016693716670531	0.00152219731691814	0.00142160131980764	0.00143944290843514	0.0019310161139965399	0.00210224068092088	0.00184712450449329	0.00189852700490998	0.00176909654905002	0.0011334732115839997	0.0012344115971387	0.0	0.00082101806239737	0.00312966864585328	0.00280590183497672	0.00288615869495433	0.00066318633346811	0.00076677708256655	0.00066486514506455	0.00072648242843596	0.00061669986970703	0.00065844183685248	0.00087167536279706	0.00095815845471966	0.0008622381842107099	0.0009602135254483699	0.00101851736036038	0.00102933702255551	0.00082619434446588	0.00101532935458952	0.00092735259667695	0.00104947089175874	0.00108346947240115	0.00104814436281055	0.00111406820573126	0.00106840890232284
Armatimonadota	0.00033301082285174	0.00027620083188815	0.00030035216291101	0.00038430715191674	0.00022714340779354	0.00036342310601086	0.00030127755222708	0.00034509262599802004	0.00022427713753364	0.00030141432877347	0.00035127630390417995	0.00040366457229106	0.00027702486162336	0.00031073822524082005	0.00035891914064502	0.00037357574248177996	0.00032733224222585	0.00036861492622598997	0.00025365832223994	0.00020573526618978	0.00076103500761035	0.0	0.0011032369277916099	0.00080060725304853	0.00089006916275133	0.00068121469981482	0.00039314752233412	0.00051048120460041	0.00038223021529851004	0.00029121938291721	0.00032509829511857	0.00029147504244948996	0.00035857463642883	0.00053071996161367	0.00034900416273357996	0.00038596447339972	0.00035045164226043	0.00029964700543521	0.00038135966127439	0.00036591862615493	0.00038545381518298997	0.00042153734160607	0.00034737351487782	0.00039714468445049	0.00039048447191494
Mycoplasmatota	1.3500438764259801e-05	3.0803066753326e-05	5.0058693818502204e-05	3.54139696305536e-05	3.2121289991006e-05	6.56652341078812e-05	3.49797907080135e-05	4.1829409211881606e-05	1.7252087502587804e-05	0.0	1.67274430430564e-05	3.51012671557443e-05	5.61292203289172e-05	2.2195587517201603e-05	0.0	2.07542079156549e-05	6.54664484451719e-05	2.93361359972245e-05	5.39273598462871e-05	4.7477369120719104e-05	0.0015220700152207	0.00213464696223317	0.00022217965906913998	0.00016616376950063998	0.00016925905390025	0.0006052380130679901	0.00078629504466825	0.0008406599969799299	0.0007791615927239	0.0007245215789532	0.00066904286821504	0.00108478211553136	0.0011109935456565401	0.00098292244945437	0.00085533144545589	0.00086663319258733	0.00082200175776268	0.0009890083242977302	0.00062093175617753	0.00066546965835038	0.00061705001506185	0.00069748347285824	0.00075699315091873	0.00072036200339722	0.0006182670805319901
