#OTU ID	mgm4440939	mgm4440940	mgm4440941	mgm4440942	mgm4440943	mgm4440944	mgm4440945	mgm4440946	mgm4440947	mgm4440948	mgm4440949	mgm4440950	mgm4524574	mgm4525093	mgm4525311	mgm4525312	mgm4525314	mgm4525315	mgm4525317	mgm4525322	mgm4525323	mgm4525324	mgm4525325	mgm4525701	mgm4530711	mgm4530717	mgm4536624	mgm4543593	mgm4543594	mgm4543595	mgm4543596	mgm4691110	mgm4691111	mgm4691112	mgm4691113	mgm4691114	mgm4691115	mgm4691116	mgm4691117	mgm4691118	mgm4691119	mgm4691120	mgm4691121	mgm4691122	mgm4691123	mgm4691124	mgm4691125	mgm4691126	mgm4691127	mgm4601031	mgm4444195	mgm4444196	mgm4560101	mgm4560102	mgm4560103	mgm4560104	mgm4560105	mgm4560106
Pseudomonadota	0.0431261284498323	0.8292514660227659	0.11990994518402501	0.146132183402271	0.059396729017726	0.0583962479981698	0.0396925403225806	0.0260256941566515	0.0439150401836969	0.0287290278096989	0.26550079491256	0.00936329588014981	0.0074975874099918296	0.52875175315568	0.0231758250757514	0.115266707541386	0.940786042763002	0.125297836515551	0.0392025000988963	0.0392025000988963	0.0855509355509356	0.0301348865726548	0.0059962810521697295	0.0028059129482617	0.0028059129482617	0.0209096329103143	0.0209096329103143	0.36456425019628397	0.060888866468244	0.437699680511182	0.065371382311273	0.0287686901307502	0.033546928389233	0.0232512201952312	0.0260717586274594	0.00949985650020124	0.0177887879184879	0.0152244386547602	0.0285286979800963	0.0246966988766938	0.0476015070003863	0.0623876387270832	0.0123046938620398	0.0971765224769724	0.0462267022795561	0.0140114501570684	0.0187697864424113	0.0268332869331961	0.00933892785735716	0.0618556701030928	0.134454547823142	0.6642783630177839	0.483684255705299	0.0396846689089624	0.0970381415988931	0.0215236297003949	0.23143725959573	0.0499830435080727
Actinomycetota	0.0490585504255868	0.00388064849948258	0.12069303054032901	0.10648596321394001	0.143815493095681	0.173530084648822	0.7129536290322579	0.0460008288437629	0.082827620141053	0.10222937255803301	0.23248854390722898	0.600410201533797	0.0125454680424616	0.138908368396447	0.0282532143149619	0.125843041079093	0.00109040914047314	0.0939416081583378	0.125202737450057	0.125202737450057	0.178586278586279	0.0641324340895156	0.9525729686814449	0.768820147823707	0.768820147823707	0.0799335661357636	0.0799335661357636	0.0604553781732531	0.009282147000958479	0.0567092651757189	0.00880388585306618	0.13474936644326	0.0781609475853389	0.0442220755320851	0.0429239749280546	0.0144034738838857	0.0559627454950395	0.0157837950716971	0.0977626301632272	0.0265896270910315	0.0294156174950877	0.046840394873995994	0.0163067279051166	0.0333171223984005	0.0226299787672794	0.0260486869870058	0.0490214210337362	0.0362726507085213	0.010911292777414	0.00951625693893735	0.0391209192048149	0.17882123121095497	0.0968827792561345	0.0206567635611532	0.0174362197550029	0.0151271469483553	0.0428473988819863	0.0262760763974898
Chloroflexota	0.00036110394635027	0.0	0.0010767423649177801	0.0004840271055179	0.0005386348056018	0.00040036604895904	0.0	8.28843762950684e-05	0.00020501886173528	0.00018386577798207	9.35191246609932e-05	0.0	0.0	0.00017531556802243998	0.00020473343706493998	0.0012262415695892099	0.0	0.00041299996823077	0.00023735116104276	0.00023735116104276	0.00161122661122661	0.00012262415695892	0.0	0.0	0.0	0.00017034324163188	0.00017034324163188	0.0	0.0	0.0	0.0	0.0009037804839694801	0.0005520329145812901	0.00031505040806529	0.0006100393125805	0.00022586358858182998	0.00039303026333027	0.00025357490901135	0.00036407921814233	0.0008525562972045	0.00065833300677926	0.0012778220614384698	0.00016377304132871002	0.0015086392599635199	0.00065850729007055	0.00022418320251309	0.00098565040959975	0.00025388754357672996	0.00014125005201066999	0.0	6.51363956124124e-05	7.21079784200486e-05	0.00010873075240863	0.0007731294562322799	0.00010440218675125	0.00048758337702552	0.00016140513077178	0.00061278105617015
Bacillota	0.4710858911529529	0.15695067264573997	0.5439017227877839	0.45841767138959794	0.4019194985799629	0.41140471288034797	0.24546370967741898	0.344301699129714	0.31946039035591306	0.435440128706045	0.457308519592257	0.387907972177635	0.363113354613614	0.315743338008415	0.387928916550651	0.582618025751073	0.0560849570947708	0.516662960256695	0.344436093199889	0.344436093199889	0.42843035343035296	0.220171673819742	0.0408666402022439	0.227073638105667	0.227073638105667	0.326973852312409	0.326973852312409	0.35540434441245705	0.0630580638652071	0.302715654952077	0.0631451123254402	0.732163163827593	0.444735202112161	0.450243288926228	0.7881286541306941	0.37259595381514204	0.28628443481057103	0.7406239434378791	0.4483395141750471	0.66601740143373	0.7860641650758821	0.54617941014164	0.5208172727174021	0.6538118333983229	0.706789757855279	0.4831119991256861	0.7112066058159899	0.53998028431903	0.29014622117787203	0.141157811260904	0.18307235350824602	0.13518934899606	0.328128563895668	0.5750728525833759	0.25602316252151297	0.683895863555997	0.4382460784039579	0.499368378397244
Cyanobacteriota	0.0006706216146505	8.62366333218351e-05	0.0019087705559906	0.00096805421103581	0.00039173440407402996	0.00068634179821551	0.0	0.0004973062577704099	0.00028702640642939	0.0005056308894507	9.35191246609932e-05	8.91742464776173e-05	0.00033405092420755	0.00046750818139317	0.00049136024895585	0.00191600245248314	0.00014222727919213998	0.00120723067636687	0.00051426084892598	0.00051426084892598	0.00077962577962578	0.00027590435315757	0.0	0.0	0.0	0.00089430201856741	0.00089430201856741	0.0002617115938236	0.00025223225546082	0.00039936102236421	0.0	0.0007432187496379	0.00053271684574695	0.00042756841094575	0.0005793936956219799	0.00036936338734246	0.00054309636387456	0.00037041824943815	0.00048871010952798	0.0006584098136826799	0.0008061220491174599	0.0016776013244221	0.00029406761564548	0.00415350440981244	0.0010164193761630599	0.00033767594878534	0.00032746222217387	0.0005392921615285	0.0002047578273333	0.0	0.00024751830332716	0.00013110541530917	0.00022277541376956002	0.0019784184546662	0.00014131205075422	0.00087277156437333	0.00017520951695621	0.0016394364143907198
Candidatus Melainabacteria	0.0	0.0	0.0	0.00013200739241396998	4.896680050925471e-05	0.0	0.0	0.0	8.20075446941119e-05	0.0	9.35191246609932e-05	0.0	0.0	0.0	0.0	3.83200490496628e-05	0.0	6.353845665088791e-05	3.9558526840460495e-05	3.9558526840460495e-05	0.0	9.19681177191907e-05	0.0	0.0	0.0	4.25858104079721e-05	4.25858104079721e-05	0.0	0.0	0.0	0.0	3.14502366216487e-05	6.09981121084302e-06	2.87546007361178e-05	9.57675529953696e-06	1.7831335940670897e-05	1.31010087776759e-05	1.24301425985959e-05	2.2570948833621697e-05	7.80806509816004e-05	1.7913823313721397e-05	6.37684713961616e-05	2.8049526415415302e-05	0.0001299795683802	2.16530443543508e-05	4.0633205455498204e-05	2.82857733439224e-05	4.0271817256999e-05	4.37984657397451e-06	0.0	0.0	0.0	4.08762227100118e-06	0.00019328236405806998	2.63641885735498e-06	5.57544488297463e-05	4.955420681589799e-06	0.00018099279179219
Candidatus Margulisbacteria	0.0	0.0	0.0	4.400246413799171e-05	4.896680050925471e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9558526840460495e-05	3.9558526840460495e-05	0.0	3.06560392397302e-05	0.0	0.0	0.0	4.25858104079721e-05	4.25858104079721e-05	0.0	0.0	0.0	0.0	1.158692928166e-05	1.5249528027107599e-05	5.0008001280204805e-06	5.74605317972218e-06	1.27366685290506e-05	8.33700558579374e-06	1.6159185378174697e-05	3.92538240584725e-06	1.4772015050573001e-05	2.01530512279366e-05	1.7168434606658898e-05	1.8096468655106602e-05	1.1683556708333199e-05	1.2737084914324e-05	2.80229003141367e-06	2.17582871876326e-06	2.1011382916695103e-05	4.37984657397451e-06	0.0	0.0	0.0	8.58400676910248e-06	3.96476644221683e-05	3.6909864002969703e-06	7.50540657323508e-06	1.4158344804542299e-06	2.59443592330106e-05
Deinococcota	0.00046427650245034	8.62366333218351e-05	0.0004404855129209	0.0004840271055179	0.0006365684066203099	0.00034317089910775	0.0	0.00016576875259013	0.0003690339511235	0.00032176511146862004	9.35191246609932e-05	0.0	3.71167693563952e-05	0.0	0.00028662681189091003	0.0004981606376456099	0.0	0.00047653842488165995	0.00031646821472368	0.00031646821472368	0.00051975051975052	0.00024524831391784	0.0	0.0	0.0	0.00017034324163188	0.00017034324163188	0.0	0.0	0.0	0.0	0.0004535455175964	0.00029177430291865	0.00017002720435269	0.00018100067516124	0.00012057379540834	0.00015483010373617	8.701099819017121e-05	0.00021982141472743998	0.00026167569518158	0.0002507935263921	0.00081427432705867	8.59582261117565e-05	0.00021176446533853	0.00031715341436666	0.00012750419642931998	6.636277592227939e-05	0.00011731355461821001	7.6647315044554e-05	0.0	2.6054558244965e-05	1.96658122963769e-05	7.480348755932159e-05	0.00049427421646303	5.80012148618095e-05	0.00024231741222158998	9.025944812895699e-05	0.0003910185570118
Armatimonadota	0.00010317255610007	0.0	4.894283476898979e-05	8.80049282759835e-05	9.79336010185095e-05	0.00017158544955387	0.0	0.0	0.0	0.0	9.35191246609932e-05	0.0	0.0	0.0	0.0	7.66400980993256e-05	0.0	6.353845665088791e-05	7.911705368092091e-05	7.911705368092091e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.44190561949517e-05	4.4731948879515504e-05	3.7506000960153604e-05	2.4899563778796102e-05	1.7831335940670897e-05	5.59770375046151e-05	2.48602851971918e-05	3.72911328555489e-05	9.70732417609086e-05	5.9339539726702197e-05	8.82948065485315e-05	2.0810938953372602e-05	0.00026434047052603	5.0948339657296e-05	2.6621755298429897e-05	1.0879143593816302e-05	3.15170743750427e-05	1.86143479393917e-05	0.0	0.0	3.27763538272948e-05	8.9927689962026e-06	0.00010903107716096	8.43654034353592e-06	5.06614943693368e-05	2.12375172068134e-05	0.00010995466532085
Mycoplasmatota	0.00010317255610007	8.62366333218351e-05	0.00048942834768989	0.00022001232068995	0.00024483400254627003	0.00034317089910775	0.0	0.0004973062577704099	8.20075446941119e-05	0.00027579866697311	0.0	0.0	7.42335387127904e-05	0.00040906965871902	0.00012284006223896	0.00053648068669527	0.0	0.0002223845982781	0.00031646821472368	0.00031646821472368	0.00057172557172557	6.13120784794605e-05	0.0	0.0	0.0	0.00017034324163188	0.00017034324163188	0.0	0.0	0.0	0.00010119409026512	0.00039726614679977	0.00017486125471083002	0.00018502960473675	0.00018961975493083	0.00031926582446152997	0.00015840310613008	0.00022249955251486	0.00012659358258856998	0.00047903534521144005	0.00026087005200606	0.00090502176712244	0.00020358527236995	0.00019716001945311999	0.0005820847805846	0.00026481640796859	0.0002186707862357	0.00075816073357741	5.0368235600706895e-05	0.0	6.51363956124124e-05	0.0	0.00038628030460961	0.00084416485498866	0.00020247696824486	0.0005846175620080599	7.04377654025978e-05	0.00099700466195426
