#OTU ID	mgm4633656	mgm4633657
Pseudomonadota	0.477032514738169	0.552934602198758
Actinomycetota	0.149260417554023	0.187666898262679
Chloroflexota	0.0003973542737221	0.0004881938669165
Bacillota	0.177919730626462	0.162289589759245
Cyanobacteriota	0.0004169498269467	0.0012189494664519
Candidatus.Melainabacteria	6.25969061343063e-06	7.89531860242334e-06
Candidatus.Margulisbacteria	6.80401153633764e-06	1.14043490923893e-05
Deinococcota	0.0002988321866759	0.0013781717249341
Armatimonadota	4.40899947554679e-05	4.29856235020826e-05
Mycoplasmatota	0.0001006993707377	9.86914825302917e-05
Thermomicrobiota	1.52409858413963e-05	1.84224100723211e-05
Candidatus.Kaiserbacteria	3.12984530671531e-05	2.71949862972359e-05
Candidatus.Nomurabacteria	1.79625904559314e-05	1.97382965060583e-05
Candidatus.Yanofskybacteria	6.25969061343063e-06	7.01806097993185e-06
Candidatus.Azambacteria	5.17104876761661e-06	4.82491692370315e-06
Candidatus.Falkowbacteria	1.68739486101173e-05	2.368595580727e-05
Candidatus.Magasanikbacteria	2.39501206079085e-05	2.58790998634987e-05
Candidatus.Nealsonbacteria	4.62672784470959e-06	6.14080335744037e-06
Candidatus.Uhrbacteria	1.55131463028498e-05	2.80722439197274e-05
Candidatus.Giovannonibacteria	4.62672784470959e-06	2.63177286747445e-06
Candidatus.Moranbacteria	2.99376507598856e-05	2.80722439197274e-05
Candidatus.Zambryskibacteria	4.62672784470959e-06	3.94765930121167e-06
Candidatus.Staskawiczbacteria	2.72160461453506e-06	5.70217454619463e-06
Candidatus.Wolfebacteria	6.25969061343063e-06	7.01806097993185e-06
Candidatus.Harrisonbacteria	3.81024646034908e-06	8.77257622491482e-07
Candidatus.Taylorbacteria	6.25969061343063e-06	4.38628811245741e-06
Candidatus.Buchananbacteria	6.80401153633764e-06	7.01806097993185e-06
Candidatus.Portnoybacteria	4.35456738325609e-06	5.26354573494889e-06
Candidatus.Adlerbacteria	2.17728369162804e-06	1.75451524498296e-06
Candidatus.Sungbacteria	5.17104876761661e-06	2.63177286747445e-06
Candidatus.Jorgensenbacteria	2.72160461453506e-06	3.07040167872019e-06
Candidatus.Liptonbacteria	3.81024646034908e-06	3.07040167872019e-06
Candidatus.Tagabacteria	1.36080230726753e-06	2.1931440562287e-06
Candidatus.Ryanbacteria	2.44944415308155e-06	3.50903048996593e-06
Candidatus.Wildermuthbacteria	1.90512323017454e-06	3.07040167872019e-06
Candidatus.Komeilibacteria	4.8988883061631e-06	3.50903048996593e-06
Candidatus.Kuenenbacteria	2.72160461453506e-06	2.63177286747445e-06
Candidatus.Lloydbacteria	7.62049292069816e-06	1.14043490923893e-05
Candidatus.Kerfeldbacteria	6.53185107488413e-06	5.26354573494889e-06
Candidatus.Terrybacteria	8.16481384360517e-07	1.75451524498296e-06
Candidatus.Yonathbacteria	4.62672784470959e-06	2.63177286747445e-06
Candidatus.Niyogibacteria	1.08864184581402e-06	4.38628811245741e-07
Candidatus.Campbellbacteria	5.17104876761661e-06	7.01806097993185e-06
Candidatus.Colwellbacteria	1.90512323017454e-06	8.77257622491482e-07
Candidatus.Vogelbacteria	1.08864184581402e-06	2.1931440562287e-06
Candidatus.Spechtbacteria	2.17728369162804e-06	8.77257622491482e-07
Candidatus.Andersenbacteria	5.44320922907011e-07	1.31588643373722e-06
Candidatus.Jacksonbacteria	2.72160461453506e-07	1.75451524498296e-06
Candidatus.Parcubacteria	2.72160461453506e-07	0.0
Candidatus.Veblenbacteria	2.72160461453506e-07	0.0
Candidatus.Woesebacteria	1.11585789195937e-05	1.1842977903635e-05
Candidatus.Gottesmanbacteria	1.11585789195937e-05	1.22816067148807e-05
Candidatus.Roizmanbacteria	1.30637021497683e-05	1.53520083936009e-05
Candidatus.Levybacteria	5.44320922907011e-06	1.05270914698978e-05
Candidatus.Daviesbacteria	5.44320922907011e-06	6.57943216868611e-06
Candidatus.Curtissbacteria	2.99376507598856e-06	4.38628811245741e-06
Candidatus.Shapirobacteria	4.62672784470959e-06	1.44747507711094e-05
Candidatus.Beckwithbacteria	3.26592553744207e-06	5.26354573494889e-06
Candidatus.Amesbacteria	1.90512323017454e-06	3.94765930121167e-06
