#OTU ID	mgm4754246	mgm4754247
candidate.division.CPR1	5.92450287496376e-07	2.00783094224093e-07
Candidatus.Coatesbacteria	1.16515223207621e-05	1.40548165956865e-05
Candidatus.Bipolaricaulota	6.91192002079106e-06	6.62584210939506e-06
Candidatus.Blackallbacteria	4.54211887080555e-06	4.41722807293004e-06
candidate.division.CPR2	1.18490057499275e-06	1.00391547112046e-06
Candidatus.Fraserbacteria	2.56728457915096e-06	4.21644497870595e-06
Candidatus.Fischerbacteria	1.77735086248913e-06	2.61018022491321e-06
Candidatus.Sumerlaeota	3.55470172497826e-06	3.41331260180958e-06
candidate.division.WOR.3	1.38238400415821e-06	2.00783094224093e-07
Candidatus.Wirthbacteria	2.17231772082005e-06	1.40548165956865e-06
Candidatus.Abawacabacteria	1.57986743332367e-06	6.02349282672278e-07
Candidatus.Absconditabacteria	1.38238400415821e-06	1.80704784801684e-06
candidate.division.CPR3	5.92450287496376e-07	2.00783094224093e-07
Candidatus.Delongbacteria	9.87417145827294e-07	6.02349282672278e-07
Candidatus.Calescamantes	3.94966858330917e-07	2.00783094224093e-07
Planctomycetota	0.0035268565614659	0.0049966880828607
Candidatus.Omnitrophica	0.0001139479386284	0.0001262925662669
Verrucomicrobiota	0.001002623369873	0.003897601425078
Lentisphaerota	7.62286036578671e-05	0.0001019978118658
Chlamydiota	2.78451635123297e-05	2.85111993798212e-05
Kiritimatiellota	1.57986743332367e-05	2.08814417993057e-05
Thermodesulfobacteriota	0.0011762113041094	0.0014715392975683
Nitrospirota	0.000263837861365	0.0002602148901144
Campylobacterota	0.0001639112462073	0.0002367232680902
Bacteroidota	0.157259016895892	0.0375616981350664
Ignavibacteriota	6.2404763616285e-05	6.56560718112783e-05
Chlorobiota	6.47745647662705e-05	7.30850462975698e-05
Balneolota	6.12198630412922e-06	5.22036044982641e-06
Gemmatimonadota	0.0014100316842413	0.0007501256400212
candidate.division.Zixibacteria	1.32313897540857e-05	1.16454194649974e-05
Candidatus.Marinimicrobia	8.09682059578381e-06	7.83054067473962e-06
Candidatus.Hydrogenedentes	3.94966858330917e-07	1.00391547112046e-06
Fibrobacterota	2.96225143748188e-06	6.62584210939506e-06
