#OTU ID	mgm4559920	mgm4559921	mgm4559922
Pseudomonadota	0.967540509856538	0.994677158065263	0.167267752767069
Actinomycetota	0.0068247497161729	0.0032479710156493	0.0044521825643576
Chloroflexota	7.74073691815461e-05	0.0	0.0003233428678025
Bacillota	0.0099339457116317	8.77830004229545e-05	0.0781246113667454
Cyanobacteriota	0.0005547528124677	2.39408182971694e-05	0.0099987563735853
Candidatus.Melainabacteria	0.0	0.0	0.000547195622435
Candidatus.Margulisbacteria	0.0	0.0	9.94901131700037e-05
Deinococcota	6.45061409846217e-05	1.59605455314463e-05	0.00019898022634
Armatimonadota	1.29012281969243e-05	0.0	4.97450565850019e-05
Mycoplasmatota	0.0004773454432862	7.98027276572313e-06	0.0174107698047507
Thermomicrobiota	0.0	0.0	4.97450565850019e-05
Candidatus.Kaiserbacteria	1.29012281969243e-05	0.0	9.94901131700037e-05
Candidatus.Nomurabacteria	6.45061409846217e-05	0.0	0.00049745056585
Candidatus.Yanofskybacteria	1.29012281969243e-05	0.0	0.00029847033951
Candidatus.Falkowbacteria	3.8703684590773e-05	0.0	0.0004228329809725
Candidatus.Magasanikbacteria	0.0001161110537723	7.98027276572313e-06	0.0007213033204825
Candidatus.Nealsonbacteria	3.8703684590773e-05	0.0	0.00049745056585
Candidatus.Uhrbacteria	0.0	0.0	0.00019898022634
Candidatus.Giovannonibacteria	0.0	0.0	7.46175848775028e-05
Candidatus.Moranbacteria	1.29012281969243e-05	0.0	0.000149235169755
Candidatus.Zambryskibacteria	1.29012281969243e-05	0.0	0.0001741076980475
Candidatus.Staskawiczbacteria	2.58024563938487e-05	0.0	0.00039796045268
Candidatus.Wolfebacteria	1.29012281969243e-05	0.0	0.0
Candidatus.Harrisonbacteria	0.0	0.0	7.46175848775028e-05
Candidatus.Taylorbacteria	0.0	0.0	0.0001243626414625
Candidatus.Buchananbacteria	0.0	0.0	0.000149235169755
Candidatus.Portnoybacteria	1.29012281969243e-05	0.0	2.48725282925009e-05
Candidatus.Tagabacteria	0.0	0.0	9.94901131700037e-05
Candidatus.Ryanbacteria	0.0	0.0	4.97450565850019e-05
Candidatus.Wildermuthbacteria	1.29012281969243e-05	0.0	4.97450565850019e-05
Candidatus.Komeilibacteria	0.0	0.0	2.48725282925009e-05
Candidatus.Kuenenbacteria	1.29012281969243e-05	0.0	4.97450565850019e-05
Candidatus.Lloydbacteria	0.0	0.0	4.97450565850019e-05
Candidatus.Kerfeldbacteria	0.0	0.0	7.46175848775028e-05
Candidatus.Terrybacteria	0.0	0.0	2.48725282925009e-05
Candidatus.Yonathbacteria	0.0	0.0	4.97450565850019e-05
Candidatus.Niyogibacteria	0.0	0.0	2.48725282925009e-05
Candidatus.Campbellbacteria	0.0	0.0	2.48725282925009e-05
Candidatus.Colwellbacteria	0.0	0.0	4.97450565850019e-05
Candidatus.Spechtbacteria	0.0	0.0	7.46175848775028e-05
Candidatus.Parcubacteria	0.0	0.0	7.46175848775028e-05
Candidatus.Woesebacteria	5.16049127876974e-05	0.0	0.00089541101853
Candidatus.Gottesmanbacteria	1.29012281969243e-05	7.98027276572313e-06	0.000447705509265
Candidatus.Roizmanbacteria	5.16049127876974e-05	0.0	0.00079592090536
Candidatus.Levybacteria	2.58024563938487e-05	0.0	0.00069643079219
Candidatus.Daviesbacteria	1.29012281969243e-05	0.0	0.0003233428678025
Candidatus.Curtissbacteria	1.29012281969243e-05	0.0	0.00019898022634
Candidatus.Shapirobacteria	0.0	0.0	0.00019898022634
Candidatus.Beckwithbacteria	1.29012281969243e-05	0.0	0.0002735978112175
Candidatus.Amesbacteria	1.29012281969243e-05	0.0	4.97450565850019e-05
Candidatus.Chisholmbacteria	3.8703684590773e-05	0.0	0.0
Candidatus.Collierbacteria	2.58024563938487e-05	0.0	4.97450565850019e-05
Candidatus.Woykebacteria	0.0	0.0	2.48725282925009e-05
Candidatus.Pacebacteria	0.0	0.0	0.00049745056585
Candidatus.Microgenomates	1.29012281969243e-05	0.0	2.48725282925009e-05
Candidatus.Gracilibacteria	0.0	0.0	2.48725282925009e-05
Candidatus.Handelsmanbacteria	0.0	0.0	2.48725282925009e-05
Candidatus.Schekmanbacteria	1.29012281969243e-05	0.0	0.00019898022634
Candidatus.Aminicenantes	1.29012281969243e-05	7.98027276572313e-06	0.0
candidate.division.WWE3	1.29012281969243e-05	0.0	0.000348215396095
Candidatus.Peregrinibacteria	2.58024563938487e-05	7.98027276572313e-06	0.0009949011317
Candidatus.Doudnabacteria	2.58024563938487e-05	0.0	2.48725282925009e-05
Candidatus.Berkelbacteria	6.45061409846217e-05	0.0	0.0003233428678025
Candidatus.Gribaldobacteria	0.0	0.0	9.94901131700037e-05
Candidatus.Saccharibacteria	2.58024563938487e-05	0.0	4.97450565850019e-05
Candidatus.Desantisbacteria	0.0	0.0	7.46175848775028e-05
Candidatus.Ratteibacteria	1.29012281969243e-05	0.0	2.48725282925009e-05
Candidatus.Dadabacteria	1.29012281969243e-05	0.0	2.48725282925009e-05
Candidatus.Firestonebacteria	1.29012281969243e-05	0.0	4.97450565850019e-05
Candidatus.Raymondbacteria	0.0	0.0	2.48725282925009e-05
Candidatus.Riflebacteria	2.58024563938487e-05	0.0	0.0
candidate.division.CPR1	0.0	0.0	2.48725282925009e-05
Candidatus.Blackallbacteria	0.0	0.0	2.48725282925009e-05
Candidatus.Fraserbacteria	0.0	0.0	4.97450565850019e-05
Candidatus.Fischerbacteria	0.0	0.0	2.48725282925009e-05
Candidatus.Sumerlaeota	1.29012281969243e-05	0.0	0.0
Candidatus.Abawacabacteria	0.0	0.0	2.48725282925009e-05
Candidatus.Absconditabacteria	0.0	0.0	0.00019898022634
candidate.division.CPR3	0.0	0.0	2.48725282925009e-05
Candidatus.Calescamantes	0.0	0.0	2.48725282925009e-05
Planctomycetota	0.0044638249561358	3.19210910628925e-05	0.0009949011317
Candidatus.Omnitrophica	0.0002709257921354	7.98027276572313e-06	0.00019898022634
Verrucomicrobiota	5.16049127876974e-05	0.0	0.0005720681507275
Lentisphaerota	1.29012281969243e-05	0.0	9.94901131700037e-05
Chlamydiota	2.58024563938487e-05	0.0	0.00089541101853
Kiritimatiellota	0.0	0.0	2.48725282925009e-05
Thermodesulfobacteriota	0.000154814738363	1.59605455314463e-05	0.0020146747916925
Nitrospirota	0.0002193208793477	0.0	0.0003730879243875
Campylobacterota	0.0015868510682216	1.59605455314463e-05	0.0146996642208681
Bacteroidota	0.0042961089895758	0.0017716205539905	0.663524437259047
Ignavibacteriota	0.0001161110537723	0.0	0.00149235169755
Chlorobiota	2.58024563938487e-05	0.0	0.0001243626414625
Gemmatimonadota	1.29012281969243e-05	0.0	0.0
candidate.division.Zixibacteria	0.0	0.0	4.97450565850019e-05
Candidatus.Marinimicrobia	0.0	0.0	0.0004725780375575
Candidatus.Hydrogenedentes	0.0	0.0	0.00029847033951
Elusimicrobiota	0.00033543193312	0.0	0.0008705384902375
Acidobacteriota	6.45061409846217e-05	7.98027276572313e-06	0.000447705509265
Myxococcota	0.0005547528124677	0.0	0.00049745056585
Nitrospinota	0.0	0.0	0.0001243626414625
Spirochaetota	0.0003225307049231	1.59605455314463e-05	0.0063922397711727
Bdellovibrionota	7.74073691815461e-05	7.98027276572313e-06	0.00129337147121
Synergistota	1.29012281969243e-05	0.0	0.0
Caldisericota	0.0	0.0	9.94901131700037e-05
Fusobacteriota	0.0002709257921354	2.39408182971694e-05	0.0049993781867926
Thermotogota	6.45061409846217e-05	0.0	0.001044646188285
Atribacterota	2.58024563938487e-05	0.0	0.00019898022634
Aquificota	0.0	0.0	0.00029847033951
Calditrichota	1.29012281969243e-05	0.0	2.48725282925009e-05
Deferribacterota	5.16049127876974e-05	0.0	0.00019898022634
Dictyoglomota	2.58024563938487e-05	0.0	4.97450565850019e-05
Coprothermobacterota	0.0	0.0	2.48725282925009e-05
Nitrososphaerota	0.0001161110537723	0.0	0.00069643079219
Thermoproteota	7.74073691815461e-05	0.0	0.0020146747916925
Euryarchaeota	0.0002451233357415	0.0	0.0032334286780251
Candidatus.Woesearchaeota	0.0	7.98027276572313e-06	0.00019898022634
Nanoarchaeota	0.0	0.0	0.00019898022634
Candidatus.Micrarchaeota	0.0	0.0	4.97450565850019e-05
Candidatus.Diapherotrites	0.0	0.0	2.48725282925009e-05
Candidatus.Altiarchaeota	0.0	0.0	7.46175848775028e-05
Candidatus.Aenigmarchaeota	0.0	0.0	2.48725282925009e-05
Candidatus.Nanohaloarchaeota	1.29012281969243e-05	0.0	0.0
Candidatus.Thermoplasmatota	0.0	0.0	0.00019898022634
Candidatus.Heimdallarchaeota	6.45061409846217e-05	0.0	0.0003233428678025
Candidatus.Lokiarchaeota	2.58024563938487e-05	0.0	0.0002238527546325
Candidatus.Thorarchaeota	0.0	0.0	2.48725282925009e-05
