#OTU ID	mgm4762274	mgm4762278	mgm4762280	mgm4762281	mgm4762282	mgm4762284	mgm4762286	mgm4762287	mgm4762289	mgm4762291	mgm4762293	mgm4762295	mgm4762296	mgm4762297	mgm4762298	mgm4762299	mgm4762309	mgm4762310	mgm4762311	mgm4762312	mgm4762315	mgm4762318	mgm4762319	mgm4762322	mgm4762275	mgm4762276	mgm4762277	mgm4762279	mgm4762283	mgm4762285	mgm4762288	mgm4762290	mgm4762292	mgm4762294	mgm4762304	mgm4762307	mgm4762308	mgm4762313	mgm4762314	mgm4762316	mgm4762317	mgm4762320	mgm4762321	mgm4768634	mgm4768635	mgm4768636	mgm4768637	mgm4768638	mgm4768639	mgm4768640	mgm4768641	mgm4768642
Pseudomonadota	0.14285754796703698	0.380106059867791	0.348152047408918	0.31931518550154103	0.14602705787529097	0.135901823354753	0.29043351094636893	0.144793786641668	0.172955400114089	0.48925225059709704	0.167706134201436	0.144465382439489	0.3110056128378211	0.21962880727841	0.14333251935947197	0.24411911696279298	0.177761666227261	0.456444491313657	0.13074491630482002	0.170087701471071	0.15439182368316198	0.148447640667893	0.349845359006221	0.14337350243190303	0.541616868756011	0.34197548075666395	0.0980168928822202	0.34264834542741	0.33266197662544	0.5554224024909871	0.0987427485915651	0.479186164801628	0.60166634177334	0.133855193550276	0.28181622088006897	0.50504666811374	0.7158666656186881	0.670864214475249	0.528429405165501	0.48293520736165396	0.601626594247203	0.22829796515357603	0.136067448776184	0.42440884820747493	0.776183438178492	0.146372898831893	0.19551444279605604	0.177578344914981	0.318368973303227	0.331976273119205	0.37604787974958004	0.185355429665327
Actinomycetota	0.0478621135555442	0.041993535707905	0.0422395038678077	0.0256879711813421	0.29554318603506397	0.088065812747613	0.090702102397776	0.271275846492357	0.146964183849225	0.0390672160835674	0.127362975616831	0.305019556449151	0.09622596411410302	0.144345848258148	0.320202141441065	0.0400589380805487	0.16899551805958302	0.0796970211049009	0.171388515684327	0.10202917129144698	0.0947119136095514	0.33695670185090104	0.108777885357909	0.0746064387532373	0.00583410639143772	0.0778316066465099	0.00733695096428498	0.0354588029437497	0.460073187336889	0.280389626352016	0.0122396864802897	0.28522210918955604	0.215512573371743	0.20951191103649802	0.527526124053303	0.234263077924897	0.07725439954727299	0.0982020312928905	0.00375559929360494	0.344037564603555	0.116719512021726	0.6240666136357801	0.0773765563216888	0.226754385964912	0.0882976958821971	0.39267253659661605	0.0296360938999913	0.47399582437443505	0.256002715426278	0.121735303237939	0.0435173043660168	0.10053534263041301
Chloroflexota	0.0008280446236650599	0.0006131332326333	0.00074025028684698	0.00045679058194377	0.00133071517826715	0.0006809807276683	0.00045247886018765	0.00106373160934335	0.00129596092179374	0.00056428965119025	0.00274505379983132	0.00092796470478105	0.00051512828754873	0.00073495849418609	0.00175901131147745	0.00121495166043394	0.00171368310044819	0.00048142832907689003	0.0016615716130874698	0.00236059218034299	0.00151696214688341	0.00144161460836136	0.00061150811228229	0.0020844884581102	0.00038176709532382997	0.00082340742547945	0.0006084300799650901	0.00075612720355656	0.00049642573471008	0.00047115699770567	0.00061115712090498	0.0008545269582909401	0.0003609925852123	0.00013013970497328	0.00104256542996836	0.00045221040445698	0.00033011341753845	0.00048037331869338	0.0004311984374139	0.0007248203706038	0.00041233595427336	0.00035924148725975	0.0002026077579164	0.0022120518688024397	0.00029955759551802003	0.00066477635024216	0.00083776943886901	0.0006647762093214	0.0006936143209220599	0.0005251522941653	0.00061227301253629	0.00062326792730024
Bacillota	0.32094102167094896	0.0862528220370641	0.13412923947508	0.0875292457384781	0.0429669539064064	0.30329323434105	0.0915962006255068	0.060992136157645996	0.0568062870719591	0.0641584210388179	0.0309208017061235	0.0379773625452281	0.140432213238385	0.0937574946425394	0.0401840960544342	0.0688817274716942	0.0394806221987872	0.0671065240416137	0.0406890329783022	0.0449684993824941	0.0310758972176295	0.0497826531232221	0.0945132826617851	0.0345239014324717	0.279317949983647	0.368925736492197	0.49569326943397296	0.3933801261267679	0.0758254850788608	0.0994960668633235	0.485895213802808	0.08021702271956599	0.0973163811215318	0.623798647848465	0.1097809414246	0.0811446349757615	0.10638297872340399	0.14499268002562	0.290490790489453	0.0702130341610992	0.0805334774139426	0.0810987657488902	0.7480343779615051	0.192200610221205	0.0812939897853336	0.324492260103922	0.0562585449573843	0.21227135333894198	0.21978719322324106	0.10614578227686002	0.103009832084126	0.0579639172389231
Cyanobacteriota	0.00575944736528678	0.00455180366743004	0.00589321478362073	0.0034834924053923602	0.00473864429334156	0.0053208833127981105	0.00318183134483957	0.00414806755424303	0.004990003378359671	0.0102359518122884	0.0045339049061793295	0.0035775481381690602	0.00536557624310758	0.00540774723616924	0.00304619370646447	0.0067899426129215705	0.00527287107830214	0.00922966882315991	0.00321929500035698	0.00584676473806807	0.005063816087438129	0.00445740608792192	0.00439815449987652	0.00331974087773107	0.022101761599822998	0.033676928036805	0.0179947030793038	0.0369512634450105	0.007105979802564391	0.00305227794165847	0.0182948132418674	0.00679552390640895	0.00545098803670573	0.0018870257221126898	0.0038826574633304602	0.00967730265537949	0.00634289352270316	0.0037743617897337397	0.0235784227445941	0.00893419891592084	0.0072229884403748	0.00558107310564266	0.00258161497990262	0.00905797101449275	0.0043918609458593	0.0101480144894111	0.00332198853884865	0.00781112045952655	0.011127344637771002	0.00434125896509988	0.00530636610864785	0.00308851517546105
Candidatus Melainabacteria	0.000558646544048	0.00012181454952979	7.40250286846986e-05	6.68474022356742e-05	3.78658790563823e-05	0.00047899491861414005	6.87767867485231e-05	7.771555136755079e-05	9.96893016764418e-05	7.873809086375691e-05	0.0	4.07002063500462e-05	9.89046312093564e-05	9.28368624235063e-05	2.0694250723264103e-05	0.0001378668550847	0.0	8.253057069889641e-05	1.29810282272459e-05	2.34495911954602e-05	1.0913396740168401e-05	2.76171380912139e-05	0.00017639657085066	3.50923982846836e-05	0.00056535573033625	0.00042695199839675	0.00043970577207561	0.0004908888651362	0.00049642573471008	0.00028679121599475	0.00051091956763553	0.00023058663953882003	0.00040431169543777	0.00019520955745993	0.00045537340619307003	0.00057882931770494	0.0004087118502857	0.00059474791838228	0.0005943690619936	0.0007248203706038	0.000355462029546	0.00055169228400605	0.00028757230155877	0.00066742944317315	0.00023518984772076	0.00044092308944633	9.308549320766791e-05	0.00057129205488558	0.00061982556337716	5.50159546268418e-05	9.694322698491259e-05	4.45191376643034e-05
Candidatus Margulisbacteria	0.0006011830829349	9.33911546395101e-05	8.636253346548171e-05	3.34237011178371e-05	1.0818822587537801e-05	0.00051939208042497	3.61983088150122e-05	1.4571665881415803e-05	3.3229767225480606e-05	2.1871691906599104e-05	5.371925244288299e-06	8.14004127000924e-06	3.70892367035086e-05	4.64184312117531e-05	1.24165504339584e-05	1.7233356885587698e-05	0.0	2.29251585274712e-05	2.59620564544918e-05	0.0	1.0913396740168401e-05	0.0	3.91992379668139e-05	2.80739186277469e-05	2.61401036607088e-05	6.0993142628107394e-05	2.7268575012441298e-05	7.12580610681583e-05	0.0	2.04850868567683e-05	3.50344846378651e-05	4.06917599186165e-05	7.21985170424599e-06	1.9520955745993303e-05	0.0	0.0	7.859843274725099e-06	1.14374599688901e-05	2.19344118287468e-05	3.15139291566873e-05	1.4218481181840197e-05	0.0	6.53573412633574e-06	3.813882532418e-05	0.0	3.39171607266413e-05	2.3271373301917e-05	5.1935641353235104e-05	2.95155030179602e-05	3.50101529443539e-05	5.102275104469081e-06	3.33893532482276e-05
Deinococcota	0.0015341511691876698	0.0026027708749533	0.00297745115376232	0.0029747093994875	0.0016823269123621301	0.0015841458452961802	0.00252302212440635	0.0017826004594932	0.0022596241713326803	0.00152664409508062	0.00175661955488227	0.0014000870984415901	0.00274460351605964	0.0030094616235620004	0.0012457938935405	0.0036534716597446	0.00158186132349064	0.00155891077986804	0.0029402028934711897	0.00124282833335939	0.0019698681116004	0.00106602153032086	0.00256363016302963	0.00310918648802296	4.68090228342924e-05	0.00019169273397405	3.06771468889964e-05	0.00020981540203402	0.00034040621808691	0.00027654867256637	3.40613045090355e-05	0.0003390979993218	0.0003609925852123	0.00017568860171394	0.00053925798101811	0.00065118298241805	0.0003458331040879	0.00037743617897337	2.9959196644142e-05	0.00059876465397705	0.00041233595427336	0.0005773523902388901	0.00015685761903205	0.00101067887109077	0.00020053029121453998	0.00052232427519027	0.00471245309363819	0.00057129205488558	0.0009740115995926801	0.002685778875874	0.00274502400620437	0.00446304355084642
Armatimonadota	0.0001588030785111	0.00044665334827590994	0.00014805005736939	0.00024882088609945	0.00155250104131167	0.00030297871358123	0.0003221649484536	0.0018748876767421601	0.0008805888314752301	0.00013560448982091	0.00080041686139895	0.00130647662383648	0.00034204518293235	0.0005183391485312401	0.00115060034021348	0.00039636720836851	0.00079093066174532	0.00024759171209668	0.0008113142642028599	0.00185251770444135	0.00077485116855195	0.00231983959966197	0.0004978303221785299	0.00046321965735782004	9.72655019933349e-05	2.6139918269188896e-05	0.00013719501803134	4.7505374045438896e-05	5.67343696811528e-05	8.194034742707309e-05	0.00010899617442891	6.781959986436079e-05	2.8879406816984003e-05	1.9520955745993303e-05	0.00010785159620362	5.42652485348383e-05	0.00011789764912087	0.00014868697959557	7.54329772647146e-05	0.0001102987520484	9.952936827288109e-05	2.56601062328398e-05	1.30714682526715e-05	0.00028604118993135	4.9513652151739504e-05	7.46177535986108e-05	0.00046542746603834005	3.1161384811940995e-05	0.00010330426056286	0.00040511748407038	0.00034185243199942003	0.0006733519571725901
Mycoplasmatota	0.0123667897390525	0.00574964673780636	0.00354497637367834	0.0020574144910313103	0.0009520563877033199	0.0118277118758999	0.0021610390362562302	0.0103944549954099	0.0135577450279961	0.0212942792402649	0.0006607468050474599	0.0012291462317714	0.00343281490822474	0.0286324356524497	0.00060427212111931	0.0367501335585159	0.00072501977326654	0.0188949156583418	0.00199258783288224	0.0008832679350289901	0.00147876525829282	0.00060205361038846	0.00513902009744931	0.00191604494634372	0.046888051054662	0.0127519234623193	0.18904365698859502	0.0130204312696207	0.0059429252241007605	0.00605334316617502	0.187234990886168	0.0066734486266531	0.0045051874634495	0.00084590808232637	0.00219298245614035	0.008374936690543379	0.005407572173010871	0.00805197181809864	0.0479020805057112	0.0027101979074751	0.00673956008019223	0.00161658669266891	0.0010457174602137198	0.00347063310450038	0.00497612204124982	0.0118981399829058	0.0028856502894377104	0.0048819502872041	0.0067442924396039	0.0025257324624141	0.0024439897750406898	0.00292156840921991
