#OTU ID	ERR2191545	ERR2191546	SRR3546449	SRR3546450	SRR3546451	SRR3546453	SRR3546454	SRR3546455	SRR3546457	SRR7193715
Pseudomonadota	0.660470561328062	0.826106353890575	0.702452188349726	0.669110239554547	0.570676489717189	0.809596310751347	0.528319009274228	0.794389558883136	0.244830192905636	0.186929775440896
Actinomycetota	0.0450862926705486	0.137341444599878	0.0339168452467871	0.0321516782448511	0.0417590788531264	0.0157181499134969	0.0306550322100153	0.0191499034144254	0.0197249579843675	0.0223234147848171
Chloroflexota	0.0056517609113734	0.0010614216629847	0.0025385497690296	0.001770165310225	0.0027939136415121	0.0011796870512673	0.0072005911113792	0.0015601622683582	0.0518610416319977	0.0004874607630859
Bacillota	0.0210976314172766	0.0073763710222272	0.061545453985615	0.165979766503894	0.085409958698307	0.062689335145417	0.0553711765174422	0.078896654774795	0.0177173327134201	0.0118521201764709
Cyanobacteriota	0.0045082870345638	0.0009903465104221	0.0029848652499872	0.0022129849948381	0.0031745842886992	0.0016812507221627	0.0053318951156595	0.0018360732098369	0.0024826168127739	0.0004918464117507
Candidatus.Melainabacteria	0.0001908989529355	6.81305280453689e-06	6.15301627746795e-05	2.64903132440107e-05	0.0001142081116674	5.54263391774597e-05	7.61035100725198e-05	4.95175696949029e-05	0.0001794318394018	8.98921776017731e-06
Candidatus.Margulisbacteria	4.14852556226294e-05	2.07855848274007e-06	1.49780803361603e-05	1.70261733109491e-05	5.00827818578028e-05	1.3677790151857e-05	0.0001354446714634	1.65536996274748e-05	2.90584306287927e-05	3.59568710407093e-06
Deinococcota	0.0009598369303915	0.0006560738899826	0.0005593556273274	0.0004324740806666	0.0007690889070373	0.0003291162381964	0.0012595008564091	0.0004462322440042	0.000394750046684	0.0004429505151461
Armatimonadota	0.0006326292804102	0.0001659093833376	0.000189183070448	0.0001303638882936	0.0002173482052447	0.0001116572542462	0.0002195011206914	0.0001499880009599	0.0010048183006502	6.04456794237378e-05
Mycoplasmatota	0.001566089267589	6.33671648557563e-05	0.0051848164642399	0.0040636882801797	0.0054193167076021	0.0038115888876447	0.004300827142378	0.0019978784472361	0.001081248854071	0.0005492956852544
Thermomicrobiota	6.86134408889364e-05	3.89729715513763e-05	1.69090523655608e-05	1.58199593979118e-05	3.65936348104664e-05	1.52869419344284e-05	0.0001675011339055	1.43050756896386e-05	5.38295518205504e-05	8.19925619943446e-06
Candidatus.Kaiserbacteria	0.0012646742614455	7.84078449878059e-05	6.64358754980212e-05	0.0001897003342465	0.0001193962451471	0.0001196136158378	0.0001414399640576	7.50657650737223e-05	4.1549850716944e-05	1.97490390185714e-05
Candidatus.Nomurabacteria	0.0071520747636091	0.0002298250566818	9.23735268118598e-05	0.0001940612614705	0.0001383502261265	0.0001235470979729	0.0001895246577207	7.44438052611293e-05	0.0002478170714098	2.06207207407704e-05
Candidatus.Yanofskybacteria	0.0012243576045728	0.0001937101030442	9.47220063070765e-05	0.0001389465642133	0.0001290115858629	0.0001163953122726	0.00023198111752	4.88477668198027e-05	0.0001715453072275	1.68071132061497e-05
Candidatus.Azambacteria	0.0004686080987232	1.26445641033354e-05	8.50671461600742e-06	1.83715657524137e-05	2.9399423051887e-05	9.78900667730942e-06	0.0002207246497923	9.90351393898058e-06	3.83740659487699e-05	1.38924274475468e-06
Candidatus.Falkowbacteria	0.0071786186495005	0.0006446129494597	0.0001872520984186	0.000366503458192	0.000257054720143	0.0002248342629537	0.0006110304329616	0.00010094886189	0.0009532647279135	2.00486796105773e-05
Candidatus.Magasanikbacteria	0.0043856676371601	0.0001930461190844	0.0002718495486796	0.0002589648485605	0.0004445884516575	0.0002154028455614	0.0004850069355747	0.0001434813444589	0.0006090096590435	1.81963559509044e-05
Candidatus.Nealsonbacteria	0.0032140639190127	0.0021351703325269	9.91058346981478e-05	8.99557222068945e-05	0.0001224399501219	5.4621763286174e-05	0.0002422587619671	5.79379486961617e-05	0.0003890865638474	8.14477609179702e-06
Candidatus.Uhrbacteria	0.0025494651156578	0.0001940276605902	7.84914035734673e-05	0.0001308742095645	0.0001665044971432	0.0001053547430978	0.0002367528810133	6.57363678848276e-05	0.0001491560246119	1.32659062097162e-05
Candidatus.Giovannonibacteria	0.0010554950852075	7.26629402924549e-05	8.81984521536966e-06	1.26188532440822e-05	3.29273538181135e-05	5.81082588150787e-06	2.69176402185761e-05	1.04297876265593e-05	4.82719284762458e-05	4.14048818044531e-06
Candidatus.Moranbacteria	0.0039471926919173	0.0003119858544857	0.0001940887831713	0.0001909993338451	0.0009420958648085	0.0001441978791826	0.000894155066897	0.0003243281207359	0.000371460958384	1.89863175116472e-05
Candidatus.Zambryskibacteria	0.0007848810032587	8.19875845969694e-05	2.14494460563132e-05	6.35118018056929e-05	0.0001123403836147	4.14356584012138e-05	0.0002317364116999	3.27724978173995e-05	0.0001100938719633	1.31841860482601e-05
Candidatus.Staskawiczbacteria	0.0012783635610876	0.0001281777731023	2.2545403154081e-05	1.12734608026175e-05	5.75536940686353e-05	3.0037499941333e-05	3.3891756093389e-05	1.83717360027466e-05	0.0002284447843239	7.00069383141082e-06
Candidatus.Wolfebacteria	0.0008854639670922	0.0002875916611813	0.000110587290008	1.32219602006008e-05	0.0001462361890157	2.4539564684214e-05	8.40564492280082e-05	4.11450337561512e-05	8.87631842704651e-05	2.48429290826718e-05
