#OTU ID	mgm4477702	mgm4477703	mgm4477704	mgm4477749	mgm4477751	mgm4477755	mgm4477983	mgm4478030	mgm4478037	mgm4478286	mgm4478289	mgm4478290	mgm4478291	mgm4478292	mgm4478934	mgm4478938	mgm4478939	mgm4479311	mgm4521025	mgm4521026	mgm4521027	mgm4521030	mgm4521031	mgm4521032	mgm4524575	mgm4524596	mgm4524858	mgm4599954	mgm4599960	mgm4683353	mgm4683369	mgm4683418	mgm4683431	mgm4684108	mgm4684109	mgm4689539	mgm4697387	mgm4704047	mgm4704048	mgm4704049	mgm4704050	mgm4704051	mgm4704052	mgm4704053	mgm4704054	mgm4704055	mgm4704056	mgm4704057	mgm4704058	mgm4704059	mgm4704060	mgm4704061	mgm4704062	mgm4732621	mgm4732622	mgm4750411	mgm4750538	mgm4750539	mgm4751389	mgm4751392	mgm4751395	mgm4751396	mgm4751576	mgm4751577	mgm4751584	mgm4751599	mgm4751712	mgm4751755	mgm4752317	mgm4778843
Fibrobacterota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.87638367386746e-05	0.0	0.0	5.13215293815756e-05	0.0	0.0	0.0	0.0	7.23824689660164e-05	6.63470948265853e-05	9.91928184399449e-06	4.89917497893355e-06	5.31534620178649e-06	2.55610000485659e-06	5.76187883345001e-06	7.53225689013199e-06	0.0	1.04122656489344e-05	1.07276702512214e-05	4.55477112275108e-05	2.86101203532396e-05	7.92732230907044e-06	0.0	2.18725530081322e-06	2.94509013314485e-05	0.0	1.77389885228744e-05	0.0	0.0	1.23491311063146e-05	1.71730533101286e-05	1.67036260169492e-05	9.80744311376512e-06	1.5316525998804e-05	1.22956446777277e-05	1.30059218015529e-05	1.39928373737082e-05	1.19668363065437e-05	1.57660659795528e-05	1.54425110948503e-05	9.04049804103708e-06	9.41742043400855e-06	1.33387303888599e-05	9.17109663388e-06	1.68807827446706e-05	0.0	0.0	2.09808295739318e-05	1.49054928896309e-05	2.24145213495405e-05	2.34171370511797e-05	1.67944614919538e-05	2.14417663617171e-05	1.76842210596644e-05	2.38499531305832e-05	1.06115040699732e-05	2.38752527593425e-05	2.51740725932844e-05	1.66971785272635e-05	1.50948663339784e-05	1.61940215023101e-05	0.0
Candidatus.Cloacimonetes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.43819183693373e-05	0.0	0.0	1.71071764605252e-05	0.0	0.0	0.0	0.0	1.80956172415041e-05	0.0	7.43946138299587e-06	4.89917497893355e-06	0.0	0.0	0.0	2.51075229671066e-06	0.0	0.0	8.25205403940108e-07	0.0	9.53670678441321e-06	1.18909834636057e-05	2.65501997902534e-05	2.18725530081322e-06	8.29979946613548e-05	0.0	1.33042413921558e-05	1.6210476831176e-05	0.0	5.29248475984909e-06	1.8076898221188e-06	2.78393766949154e-06	1.83889558383096e-06	3.99561547794886e-06	2.7323654839395e-06	4.10713320049039e-06	2.38902101502336e-06	1.19668363065437e-06	1.4332787254139e-06	3.08850221897006e-06	3.39018676538891e-06	3.58758873676516e-06	4.10422473503382e-06	6.55078330991428e-07	1.0335173108982e-06	4.34055000411267e-08	0.0	4.03477491806381e-06	1.2570897617761e-06	6.98634431673989e-06	1.51777740146535e-06	3.30799999083938e-06	3.84852216748768e-06	1.29396739460959e-06	2.12946010094493e-06	2.30684871086373e-06	4.45671384841061e-06	2.27265933133817e-06	3.09207009764139e-06	2.35244670139924e-06	2.04751996006219e-06	0.0
Elusimicrobiota	0.0002583979328165	0.0005748941304119	0.0001262102663036	0.0011882257628949	0.0011410668007581	0.0011369143027546	0.0005135447425856	0.0010061890116566	0.0009752767347734	0.0002507271086149	0.0004206590324842	0.0012317167051578	0.00091091273456	0.000696775828213	0.0008671146759158	0.0008639648130694	0.0011581195034562	0.0009786196486921	0.0009621703388674	0.0009161457210605	0.0015042429751055	0.0007029275013355	0.0007404014300983	0.0007431826798263	0.001310615989515	0.0007340647282498	0.0006209670664649	0.0018633154593072	0.0015878616796048	0.0005549125616349	0.0001460260988463	0.0002012274876748	0.0005060200319676	2.2336585540188e-05	0.0001507814024444	7.2947145740292e-05	0.0002772387025228	0.0007396247451889	0.0007461239740795	0.0007009336398964	0.0007116525909425	0.0011514031935622	0.0007835058025196	0.0010425273107244	0.0010177229523999	0.0011015472820173	0.0008136245564599	0.0009441313706297	0.0010460609608316	0.0006780542712486	0.0009670579531923	0.0007317224957174	0.0009708172607037	2.69114100254986e-06	2.65049971913393e-06	0.0012394828548292	0.0010333277841799	0.0012982956521941	0.0010290530781935	0.0012842673810589	0.0011985397607318	0.0012978492967934	0.0014484587606627	0.0008422304643363	0.0013058171575843	0.0012059080051977	0.0013040290291786	0.0013430510292738	0.0013050147672723	1.81417194842672e-06
Acidobacteriota	0.0228634319073596	0.0216759378466571	0.0165155148477363	0.0210640021604105	0.01978493791823	0.0181160770865173	0.0173891955892213	0.0197630709648024	0.026673818696055	0.0195925326303423	0.0140453376957233	0.0198614318706697	0.0210290711292715	0.0186229175904225	0.0195100802081075	0.0205584354382658	0.0221671311208425	0.0216291529134668	0.008979429889276	0.0081277312900507	0.0095490194515094	0.0084095690159781	0.0090836019809339	0.0080444503586609	0.0109217999126256	0.0136588901726233	0.0105028017786477	0.0647025941491895	0.0352905834557211	0.0001823284131086	0.0001858513985317	9.8426488536595e-05	0.0008460440746125	0.0002323004896179	0.0001552161495751	0.0002026309603897	0.0001386193512614	0.0135474378640237	0.0159985068482069	0.0139861935251178	0.0166922681796282	0.0197403382688064	0.0122683210228883	0.0169809422174275	0.0183156002560348	0.0197336122403982	0.0128498215329107	0.0180579973201304	0.0183318699027129	0.0175361337453081	0.0180657712274351	0.0152043680623111	0.0171346834973812	7.16190750678591e-06	8.21220404780841e-06	0.0166099579051933	0.0146898122033605	0.0124214290974837	0.0161591255173724	0.0163646759546824	0.0174799876847291	0.0185080469675658	0.0194815786795048	0.0112438113016209	0.0169565228463885	0.016043576319659	0.0274955118602533	0.0274167861186825	0.0236872000034249	7.45826245464318e-06
Myxococcota	0.0034357354770791	0.0036275009918948	0.0028307159728107	0.0199837969214151	0.014891888755657	0.0141089201177918	0.0061768020427668	0.0132133500398679	0.0113132101233725	0.0040832700545868	0.0081794811871932	0.0175861774014199	0.0159539858938657	0.0158991575346804	0.0101885974420117	0.0162975180647188	0.0172632188483949	0.0187928146096303	0.0091827751670779	0.0076549609045836	0.0095702808363165	0.0087060766165415	0.0105672857805473	0.0102036973338321	0.0214067278287462	0.0194308895879346	0.030119584641112	0.0109562949007267	0.0089406626103873	0.0003805114708353	0.0003717027970635	0.0001159245309431	0.0010950380585965	0.0011034273256852	0.0008204282191829	0.0004295776360261	0.0007624064319378	0.0107150764367111	0.0096661694013247	0.0108180724572364	0.0076847446448295	0.0075210802013257	0.0116473909666631	0.011088575119124	0.0081216475849301	0.008853065499581	0.0119888987785121	0.009368615115605	0.0069754976134968	0.0078509895018184	0.0116452246575666	0.0093446923915927	0.0089616286027982	1.79698770170265e-05	1.69023670613623e-05	0.0125852699244246	0.0098151772756961	0.0110934414819434	0.0103176339498184	0.0138251498078688	0.0111461448803659	0.0140412715213735	0.0136046946929169	0.0086451462288329	0.013266682116608	0.0117302437287277	0.0123371535515826	0.0128576895209478	0.0132627174722138	2.19716380420569e-05
Nitrospinota	4.78514690400995e-05	8.09710042833661e-06	0.0	0.0001260239445494	7.7360461068348e-05	9.31896969471055e-05	4.27953952154748e-05	7.59387933325739e-05	7.31457551080119e-05	1.43272633494276e-05	2.33699462491236e-05	0.0002052861175263	0.0002082086250422	0.0001478009332573	0.0	3.92711278667923e-05	3.61912344830082e-05	1.65867737066463e-05	3.47174864539807e-05	4.16429873209352e-05	4.78381158160784e-05	3.57854000679923e-05	4.03331518341501e-05	3.766128445066e-05	0.0	4.40518931301073e-05	3.36271202105594e-05	0.0002153164530755	0.000209807549257	4.75639338544226e-05	1.32750998951267e-05	2.40598083089454e-05	4.28376746639251e-05	0.0	8.86949426143721e-06	0.0	0.0002079290268921	5.38069283917991e-05	6.23652988630987e-05	5.28948157203392e-05	6.06835542664216e-05	7.2587014516071e-05	5.46473096787899e-05	7.11903088085001e-05	5.5971349494833e-05	7.00059923932805e-05	4.63426787883826e-05	7.29361677864467e-05	6.59202982158954e-05	4.08088218807037e-05	7.2336960954971e-05	7.27136947400485e-05	6.06330155726943e-05	4.34055000411267e-08	0.0	6.89946510988911e-05	6.94991054010502e-05	9.11135737974828e-05	9.80050550660482e-05	8.90615382149065e-05	7.94444933145672e-05	8.15199458604042e-05	0.0001043435449463	8.0278335138058e-05	9.51826743339123e-05	8.79344341279308e-05	0.0001177048017168	9.78225753331849e-05	0.0001031205507158	2.01574660936302e-07
Candidatus.Tectomicrobia	9.57029380801991e-06	8.09710042833661e-06	0.0	0.0001080205238995	0.0001740610374037	7.45517575576844e-05	1.42651317384916e-05	9.49234916657174e-05	9.75276734773492e-05	1.43272633494276e-05	3.50549193736854e-05	0.0001710717646052	7.80782343908596e-05	4.22288380735204e-05	0.0	9.81778196669808e-05	3.61912344830082e-05	9.95206422398779e-05	5.70358706029683e-05	6.36892747261361e-05	5.04957889169716e-05	5.11220000971318e-05	5.76187883345001e-05	4.26827890440813e-05	0.0	6.16726503821502e-05	5.3019447203152e-05	0.000103517525517	0.0001668923687272	0.0	0.0	2.18725530081322e-06	1.33867733324766e-05	0.0	0.0	0.0	0.0	4.18988376821387e-05	5.01633925637968e-05	4.79455931967987e-05	4.10686680388914e-05	6.85913990381222e-05	5.46473096787899e-05	6.43450868076828e-05	6.17732576741754e-05	7.1801017839262e-05	4.20428426121409e-05	6.72343175360404e-05	5.38663008278459e-05	4.57417563937558e-05	6.56675957605411e-05	5.17511881483228e-05	5.92549924914967e-05	0.0	4.34508150677694e-08	0.0001141841301812	8.49433510457281e-05	0.0001167301696255	8.32609317375277e-05	0.0001201058458212	0.0001006113652357	0.0001216329350933	0.0001392666906017	9.48114820164995e-05	0.0001314730585281	0.0001047171491901	0.0001179109397233	0.0001276202335509	0.0001325303828694	0.0
Spirochaetota	0.0004402335151689	0.0009554578505437	0.0003065106467374	0.0006121163020973	0.0006188836885467	0.0006336899392403	0.0004279539521547	0.0005885256483274	0.0006095479592334	0.0005086178489046	0.0004557139518579	0.0004105722350526	0.0004944954844754	0.0007812335043601	0.0004335573379579	0.0005301602262016	0.0005247729000036	0.0006302974008525	0.0003769327100717	0.000362538948441	0.0004571197733536	0.000444761400845	0.0004263790336753	0.0004243171381441	0.0	0.0004208958152703	0.0003620588709787	0.001540340779694	0.0013828224837399	0.0015339368668051	0.0007566806940222	0.0008792766309269	0.009097651156751	0.0339114041671134	0.00222180831249	0.0012157857623382	0.0284169670085944	0.0004595640933135	0.0004853647172388	0.0004732694038135	0.000525311171781	0.0005620499105648	0.0005013890663028	0.0006208616354741	0.0005107385641403	0.0005585520846079	0.0004944811602677	0.0005433388134449	0.0005009942664408	0.0004901543111605	0.0005997298394068	0.0005037552365324	0.0005267493227877	8.63769450818422e-06	6.99558122591087e-06	0.000787588064006	0.0005847263234775	0.0015573725872732	0.0006398515873891	0.0007219073826162	0.0006732164848698	0.0007315229004192	0.0008258046271464	0.000537034379889	0.0010304559090932	0.0009849355902122	0.001148807110277	0.0010762443658901	0.0011039855348299	8.66771042026099e-06
Bdellovibrionota	0.0001244138195042	0.0005101173269852	1.80300380433803e-05	0.000450085516248	0.0002514214984721	0.0002982070302307	0.0004279539521547	0.000265785776664	0.0002682011020627	0.0001504362651689	0.0004440289787333	0.0002052861175263	0.0003903911719542	0.0002744874474778	0.0004335573379579	0.0002159912032673	0.0003438167275885	0.0002819751530129	0.0002008654573408	0.000220462874052	0.0002976593873	0.0002326051004419	0.0002621654869219	0.0002234569544072	0.000436871996505	0.0003039580625977	0.000356901337204	0.0006293865551437	0.0005865074672414	0.0014388089990962	0.0006504798948612	0.0013626600524066	0.0059223085222876	0.0003529180515349	0.0016408564383658	0.000745681934234	0.0004158580537843	0.0003470987921667	0.0004153167366317	0.0003875859888747	0.0003126122492512	0.0004881310242227	0.0003948268124292	0.000427141852851	0.0004673948971534	0.0004035815544381	0.0004113509941937	0.0004839445400032	0.0006354716748012	0.0004466547977272	0.0028873221010962	0.0003380204187915	0.0004175409936028	2.4307080023031e-06	1.95528667804962e-06	0.0003360967506747	0.000284281870413	0.000432862249958	0.0003098434152419	0.0003371615375278	0.000343892945109	0.0003385881349228	0.0003794697899883	0.0009718753618868	0.000321201733789	0.00039334488427	0.0003094131477706	0.0002746481523883	0.0002890725907251	1.41102262655412e-06
Synergistota	9.57029380801991e-05	9.71652051400394e-05	9.01501902169014e-05	0.0001620307858493	0.0001934011526708	0.000223655272673	7.1325658692458e-05	0.0001518775866651	0.0001219095918466	6.44726850724243e-05	0.000105164758121	0.0001539645881447	0.0001041043125211	0.0001055720951838	0.0002167786689789	9.81778196669808e-05	0.0001266693206905	0.0001326941896531	0.0001239910230499	0.0001028826745576	0.0001116222702375	8.17952001554109e-05	0.0001123566372522	9.54085872750052e-05	0.0	0.0001105302045809	9.77868403669028e-05	0.0002443013602202	0.0002574910831791	2.37819669272113e-05	0.0	0.000104988254439	0.0001044168319933	2.2336585540188e-05	0.0004833874372483	2.4315715246764e-05	0.0	0.0001318710785995	0.0001016825524941	0.0001203279726035	9.25577443861583e-05	0.0001238640798164	0.0001202240812933	0.0001437496620171	0.0001237171597065	0.0001400119847865	0.0001122735001574	0.0001209267407273	0.0001167730996967	0.0001062823163266	0.0001405696971749	0.0001126734729305	0.00013814681389	1.17194850111042e-06	1.21662282189754e-06	0.0002017387459031	0.0001488753446446	0.0001804805615157	0.0001621853566137	0.0001979710763748	0.0001767571252638	0.0002135046201105	0.000221037958478	0.0001347199647144	0.0002177423051652	0.00017779188769	0.0001888224139626	0.0002013302301947	0.0001930252907804	6.04723982808907e-07
