#OTU ID	mgm4532935	mgm4532936	mgm4532937	mgm4532938	mgm4532939	mgm4532940	mgm4532941	mgm4532942	mgm4532943	mgm4532944	mgm4532969	mgm4532970	mgm4532971	mgm4532972	mgm4532973	mgm4532974	mgm4532975	mgm4532976	mgm4532977	mgm4532978	mgm4532979	mgm4532980	mgm4532981	mgm4532982	mgm4532999	mgm4533000	mgm4533001	mgm4533002	mgm4533003	mgm4533004	mgm4533005	mgm4533006	mgm4533007	mgm4533008	mgm4533009	mgm4533010	mgm4533025	mgm4533026	mgm4533027	mgm4533028	mgm4533029	mgm4533030	mgm4533031	mgm4533032	mgm4533033	mgm4533034	mgm4535764	mgm4535765	mgm4535766	mgm4535767	mgm4535768	mgm4535769	mgm4535770	mgm4535771	mgm4535772	mgm4535773	mgm4535798	mgm4535799	mgm4535800	mgm4535801	mgm4535802	mgm4535803	mgm4535804	mgm4535805	mgm4535806	mgm4535807	mgm4535808	mgm4535809	mgm4535810	mgm4535811	mgm4535828	mgm4535829	mgm4535830	mgm4535831	mgm4535832	mgm4535833	mgm4535834	mgm4535835	mgm4535836	mgm4535837	mgm4535838	mgm4535839	mgm4535854	mgm4535855	mgm4535856	mgm4535857	mgm4535858	mgm4535859	mgm4535860	mgm4535861	mgm4535862	mgm4535863
Pseudomonadota	0.0920222634508349	0.110562310030395	0.0147726990590163	0.0145104628073927	0.0907095830285296	0.0174379610999329	0.15572390572390601	0.14386584289496898	0.143314640119405	0.14467616390072	0.5828397630862809	0.5939051532271871	0.0790615367051033	0.0798962281359574	0.0383325347388596	0.0378378378378378	0.115135779347919	0.11331858591760902	0.165585819282317	0.19229175300455897	0.762422829512585	0.764576969052995	0.183753122398002	0.18268959684240196	0.26092774308653	0.28211116300794004	0.0631185807656396	0.0613026819923372	0.0178811766967891	0.0157790927021696	0.0525612617309698	0.0525019445164636	0.11340206185566999	0.10724925521350501	0.358760826115923	0.36016849988298605	0.151699170851337	0.14932070297893602	0.30236486486486497	0.305032654629274	0.163738019169329	0.09371980676328501	0.34085027726432504	0.34437171647575604	0.102987921169739	0.0975965040058267	0.0920222634508349	0.110562310030395	0.0147726990590163	0.0145104628073927	0.0907095830285296	0.0174379610999329	0.15572390572390601	0.14386584289496898	0.143314640119405	0.14467616390072	0.5828397630862809	0.5939051532271871	0.0790615367051033	0.0798962281359574	0.0383325347388596	0.0378378378378378	0.115135779347919	0.11331858591760902	0.165585819282317	0.19229175300455897	0.762422829512585	0.764576969052995	0.183753122398002	0.18268959684240196	0.26092774308653	0.28211116300794004	0.0631185807656396	0.0613026819923372	0.0178811766967891	0.0157790927021696	0.0525612617309698	0.0525019445164636	0.11340206185566999	0.10724925521350501	0.358760826115923	0.36016849988298605	0.151699170851337	0.14932070297893602	0.30236486486486497	0.305032654629274	0.163738019169329	0.09371980676328501	0.34085027726432504	0.34437171647575604	0.102987921169739	0.0975965040058267
Actinomycetota	0.589795918367347	0.576367781155015	0.73704595674951	0.73547680871646	0.6993416239941479	0.600268276324614	0.44023569023569004	0.456310679611651	0.7760581953078578	0.775429578499045	0.282695693933088	0.27889060092449897	0.511131407694942	0.49694967469952794	0.6693818878773361	0.8606606606606608	0.865923214437729	0.869109729120581	0.6688283614353651	0.608371322005802	0.16917066010447698	0.166976579448355	0.745472522897585	0.7440090217084859	0.6284567350579839	0.624007473143391	0.543417366946779	0.5362019844778471	0.531436262257258	0.52603550295858	0.815726016684046	0.816729323308271	0.7174320524835992	0.722939424031778	0.5524095047745949	0.548326702550901	0.719023706644867	0.7208026922597529	0.49763513513513497	0.5140222819823279	0.420127795527157	0.46280193236715006	0.427890737317724	0.424554301955043	0.747616020343293	0.7807720320466129	0.589795918367347	0.576367781155015	0.73704595674951	0.73547680871646	0.6993416239941479	0.600268276324614	0.44023569023569004	0.456310679611651	0.7760581953078578	0.775429578499045	0.282695693933088	0.27889060092449897	0.511131407694942	0.49694967469952794	0.6693818878773361	0.8606606606606608	0.865923214437729	0.869109729120581	0.6688283614353651	0.608371322005802	0.16917066010447698	0.166976579448355	0.745472522897585	0.7440090217084859	0.6284567350579839	0.624007473143391	0.543417366946779	0.5362019844778471	0.531436262257258	0.52603550295858	0.815726016684046	0.816729323308271	0.7174320524835992	0.722939424031778	0.5524095047745949	0.548326702550901	0.719023706644867	0.7208026922597529	0.49763513513513497	0.5140222819823279	0.420127795527157	0.46280193236715006	0.427890737317724	0.424554301955043	0.747616020343293	0.7807720320466129
Chloroflexota	0.0	0.0	4.96561312908111e-05	7.637085688101421e-05	0.0	0.0	0.0	0.0	0.00010143604457389	0.00010280511088265	0.0001600768368817	0.0	0.00013319633139247	0.00012160765317496999	0.00047915668423574	0.0006006006006006	8.512811781731508e-05	0.00012521390709128001	0.00043233895373973	0.00041442188147534	8.63446013038035e-05	4.42732545269403e-05	0.00020815986677768	0.00016915703411333	0.00223015165031222	0.0018682858477347	0.00018674136321195	0.00029472443265546	0.0	0.0	0.00035844629822732	0.00035649468498833	0.0	0.0	0.0	0.0	0.00058390750905056	0.00024928331048236003	0.0010135135135135099	0.0030733768728390303	0.0	0.0	0.00024645717806531	4.30626130393592e-05	0.0	0.0	0.0	0.0	4.96561312908111e-05	7.637085688101421e-05	0.0	0.0	0.0	0.0	0.00010143604457389	0.00010280511088265	0.0001600768368817	0.0	0.00013319633139247	0.00012160765317496999	0.00047915668423574	0.0006006006006006	8.512811781731508e-05	0.00012521390709128001	0.00043233895373973	0.00041442188147534	8.63446013038035e-05	4.42732545269403e-05	0.00020815986677768	0.00016915703411333	0.00223015165031222	0.0018682858477347	0.00018674136321195	0.00029472443265546	0.0	0.0	0.00035844629822732	0.00035649468498833	0.0	0.0	0.0	0.0	0.00058390750905056	0.00024928331048236003	0.0010135135135135099	0.0030733768728390303	0.0	0.0	0.00024645717806531	4.30626130393592e-05	0.0	0.0
Bacillota	0.310760667903525	0.305661094224924	0.24507783598579802	0.24721246372384303	0.19897585954645197	0.13413816230717598	0.329124579124579	0.327449249779347	0.0745265110347926	0.0736525187252166	0.0664318873059068	0.0602636534839925	0.40335654755109007	0.41666835566184995	0.0891231432678486	0.0930930930930931	0.010811270962799	0.00930756709378522	0.14569822741029	0.168255283878989	0.0563830246513837	0.0568689954398548	0.0629163197335554	0.0658020862700874	0.0414808206958073	0.0294255021018216	0.384033613445378	0.393162393162393	0.44702941741972707	0.454437869822485	0.10740354535975	0.10668913663469	0.145267104029991	0.146474677259186	0.0822784810126582	0.0843669553007255	0.10218381408384901	0.10332793219494	0.138851351351351	0.117172493276988	0.40495207667731603	0.435748792270531	0.165413842678168	0.164369993971234	0.137317228226319	0.10924981791697	0.310760667903525	0.305661094224924	0.24507783598579802	0.24721246372384303	0.19897585954645197	0.13413816230717598	0.329124579124579	0.327449249779347	0.0745265110347926	0.0736525187252166	0.0664318873059068	0.0602636534839925	0.40335654755109007	0.41666835566184995	0.0891231432678486	0.0930930930930931	0.010811270962799	0.00930756709378522	0.14569822741029	0.168255283878989	0.0563830246513837	0.0568689954398548	0.0629163197335554	0.0658020862700874	0.0414808206958073	0.0294255021018216	0.384033613445378	0.393162393162393	0.44702941741972707	0.454437869822485	0.10740354535975	0.10668913663469	0.145267104029991	0.146474677259186	0.0822784810126582	0.0843669553007255	0.10218381408384901	0.10332793219494	0.138851351351351	0.117172493276988	0.40495207667731603	0.435748792270531	0.165413842678168	0.164369993971234	0.137317228226319	0.10924981791697
Cyanobacteriota	0.0	0.00037993920972643997	0.00017379645951783	0.00010182780917468	0.00073152889539136	0.00067069081153588	0.0016835016835016802	0.0008826125330979699	0.0006520888579750401	0.0005580848876487	0.00272130622698895	0.00239684985447697	0.00015222437873425	0.00016214353756663	0.00047915668423574	0.0006006006006006	0.00021282029454328	0.00020868984515213	0.0021616947686986603	0.00124326564442603	0.00043172300651901	0.00015495639084429	0.00062447960033305	0.00073301381449111	0.00223015165031222	0.00280242877160206	0.00018674136321195	9.824147755182241e-05	0.00038454143433955	0.0	0.00039103232533889	0.00051853772361939	0.0042174320524836	0.00297914597815293	0.00033311125916056	0.0002340276152586	0.00023356300362022	0.00037392496572354	0.0010135135135135099	0.00038417210910487	0.00079872204472843	0.0	0.00024645717806531	0.00025837567823615	0.00063572790845518	0.0007283321194464599	0.0	0.00037993920972643997	0.00017379645951783	0.00010182780917468	0.00073152889539136	0.00067069081153588	0.0016835016835016802	0.0008826125330979699	0.0006520888579750401	0.0005580848876487	0.00272130622698895	0.00239684985447697	0.00015222437873425	0.00016214353756663	0.00047915668423574	0.0006006006006006	0.00021282029454328	0.00020868984515213	0.0021616947686986603	0.00124326564442603	0.00043172300651901	0.00015495639084429	0.00062447960033305	0.00073301381449111	0.00223015165031222	0.00280242877160206	0.00018674136321195	9.824147755182241e-05	0.00038454143433955	0.0	0.00039103232533889	0.00051853772361939	0.0042174320524836	0.00297914597815293	0.00033311125916056	0.0002340276152586	0.00023356300362022	0.00037392496572354	0.0010135135135135099	0.00038417210910487	0.00079872204472843	0.0	0.00024645717806531	0.00025837567823615	0.00063572790845518	0.0007283321194464599
Candidatus Melainabacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001600768368817	0.00034240712206813	1.90280473417818e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00011103708638685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0001600768368817	0.00034240712206813	1.90280473417818e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00011103708638685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus Margulisbacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Deinococcota	0.0	0.00018996960486321999	0.00012414032822701999	5.0913904587342795e-05	0.00073152889539136	0.0	0.0	0.0	2.8981727021113202e-05	1.46864444118079e-05	0.0003201536737634	0.0005136106831022	0.00022833656810137998	0.00026348324854577	0.0	0.0	0.00012769217672596998	0.00012521390709128001	0.00043233895373973	0.00082884376295068	0.00023744765358546	0.00028777615442511	5.20399666944213e-05	5.638567803777839e-05	0.00178412132024978	0.00046707146193367	0.00046685340802987	0.00029472443265546	0.0	0.0	0.00042361835245046	0.00045372050816695997	0.0	0.0	0.0	0.0002340276152586	0.00023356300362022	0.0	0.00202702702702703	0.00192086054552439	0.0	0.0	4.1076196344218497e-05	4.30626130393592e-05	0.0	0.0	0.0	0.00018996960486321999	0.00012414032822701999	5.0913904587342795e-05	0.00073152889539136	0.0	0.0	0.0	2.8981727021113202e-05	1.46864444118079e-05	0.0003201536737634	0.0005136106831022	0.00022833656810137998	0.00026348324854577	0.0	0.0	0.00012769217672596998	0.00012521390709128001	0.00043233895373973	0.00082884376295068	0.00023744765358546	0.00028777615442511	5.20399666944213e-05	5.638567803777839e-05	0.00178412132024978	0.00046707146193367	0.00046685340802987	0.00029472443265546	0.0	0.0	0.00042361835245046	0.00045372050816695997	0.0	0.0	0.0	0.0002340276152586	0.00023356300362022	0.0	0.00202702702702703	0.00192086054552439	0.0	0.0	4.1076196344218497e-05	4.30626130393592e-05	0.0	0.0
Armatimonadota	0.0	0.0	2.4828065645405602e-05	5.0913904587342795e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2586027111574605e-05	6.481721545242421e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00038417210910487	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4828065645405602e-05	5.0913904587342795e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2586027111574605e-05	6.481721545242421e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00038417210910487	0.0	0.0	0.0	0.0	0.0	0.0
Mycoplasmatota	0.00111317254174397	0.0009498480243161	0.00012414032822701999	0.00010182780917468	0.00146305779078274	0.00067069081153588	0.0	0.0	0.00039125331478502003	0.00045527977676604006	0.00608291980150472	0.00547851395309022	0.00058986946759523	0.0005675023814832	0.00095831336847149	0.0012012012012012	0.00072358900144717	0.00066780750448683	0.00302637267617812	0.00248653128885205	0.0011440659672754	0.00115110461770045	0.0007285595337218901	0.00039469974626444	0.007136485280999109	0.00794021485287249	0.00028011204481792	0.00029472443265546	0.00019227071716977	0.00039447731755423997	0.0016618873826903	0.00168524760176303	0.0014058106841612	0.00148957298907646	0.0006662225183211099	0.0004680552305172	0.00128459651991125	0.00099713324192945	0.00135135135135135	0.00076834421820975	0.00079872204472843	0.0	0.00078044773054015	0.00051675135647231	0.00127145581691036	0.00145666423889294	0.00111317254174397	0.0009498480243161	0.00012414032822701999	0.00010182780917468	0.00146305779078274	0.00067069081153588	0.0	0.0	0.00039125331478502003	0.00045527977676604006	0.00608291980150472	0.00547851395309022	0.00058986946759523	0.0005675023814832	0.00095831336847149	0.0012012012012012	0.00072358900144717	0.00066780750448683	0.00302637267617812	0.00248653128885205	0.0011440659672754	0.00115110461770045	0.0007285595337218901	0.00039469974626444	0.007136485280999109	0.00794021485287249	0.00028011204481792	0.00029472443265546	0.00019227071716977	0.00039447731755423997	0.0016618873826903	0.00168524760176303	0.0014058106841612	0.00148957298907646	0.0006662225183211099	0.0004680552305172	0.00128459651991125	0.00099713324192945	0.00135135135135135	0.00076834421820975	0.00079872204472843	0.0	0.00078044773054015	0.00051675135647231	0.00127145581691036	0.00145666423889294
