#OTU ID	mgm4575366	mgm4575367	mgm4575368	mgm4575369	mgm4575370	mgm4575371	mgm4575372	mgm4575373	mgm4575374	mgm4575375	mgm4575376	mgm4575377	mgm4575355	mgm4575356	mgm4575357	mgm4575358	mgm4575359	mgm4575360	mgm4575361	mgm4575362	mgm4575363	mgm4575364	mgm4575365	mgm4726046	mgm4726047	mgm4569549	mgm4569551	mgm4569550
Pseudomonadota	0.106528072033898	0.0828265483770957	0.116078993677899	0.0802958225064961	0.069209967457565	0.0833832667554372	0.0517449404694152	0.0677266157340491	0.0579539231395548	0.0837143071273327	0.0618492394798714	0.0662707336293221	0.66499162479062	0.669126853377265	0.64451313755796	0.642341888944808	0.648622126091484	0.691249083691789	0.662755500078015	0.682605509178986	0.690706572911032	0.706252587991718	0.705279900686659	0.947850237963625	0.959285254886608	0.99417931161041	0.912904388546573	0.935515302489993
Actinomycetota	0.0127780720338983	0.0088240204144904	0.013230789285016	0.0084309414351389	0.0068293279146868	0.0086329338659565	0.004894484030323	0.008052859797646	0.0062616083148131	0.0056958704938919	0.0046782783935511	0.005420054200542	0.164640406332739	0.156891817682592	0.156877897990726	0.165492367052508	0.166165985740607	0.150896944717224	0.155375253549696	0.143056325188138	0.13414267684356	0.118592132505176	0.132016914303449	0.0417009343274326	0.0325214619277984	0.0022846918762688	0.0298978292509079	0.0075303634882703
Chloroflexota	0.0005958686440677	0.0004483556318714	0.0002607052075865	0.0002878273036178	0.00038195346279	0.0003106968486462	0.000273180504018	0.000206483584555	0.0003419110509708	0.0003747283219665	0.0002639028837387	0.0001537604028522	0.0075106716377586	0.0069192751235584	0.0030911901081916	0.0036067773863445	0.0040254746455179	0.0053664541292651	0.0087533156498673	0.0071501349587973	0.004146883827153	0.0034782608695652	0.0036854560266904	0.0002157177333459	0.0002237073907329	0.0001032240305543	0.0006293827103264	0.0015271527777448
Bacillota	0.0027145127118644	0.0021034556771839	0.0028025809815551	0.0011553068159104	0.0009778008647426	0.0013204616067465	0.000682951260045	0.0016518686764402	0.0011300449989713	0.0014239676234729	0.001127585048702	0.0010186626688961	0.0115091586967094	0.0119714442613948	0.017774343122102	0.0133366884750881	0.014479692381639	0.0111616713461778	0.0128569199563114	0.0119943513933826	0.0107778912995573	0.0122567287784679	0.0105714396555068	0.0014021652667484	0.0005872319006739	0.001690580233745	0.033724065143261	0.0391899579056303
Cyanobacteriota	0.861162605932203	0.894545801435692	0.855047904581894	0.901315210873476	0.914870212213344	0.896626719928984	0.937373369453867	0.911005575056783	0.926900576322949	0.901521396987184	0.925843289669402	0.920774952430375	0.0141568055330416	0.0149038989566172	0.0316846986089645	0.036990437845999	0.0294800929263799	0.0097647335444876	0.0108909346231861	0.013424378385142	0.0284271891339624	0.0345341614906832	0.0316561275555728	0.00045840018336	0.0003914879337826	0.0001663053825597	0.0011091854750704	0.0015156903146324
Candidatus Melainabacteria	0.0	9.53948152917889e-06	0.0	7.99520287827304e-06	0.0	1.10963160230803e-05	0.0	0.0	5.79510255882754e-06	0.0	2.39911712489804e-05	0.0	0.0	8.78638110928062e-05	0.0	0.0	2.00272370423776e-05	6.91553367173345e-05	1.56030581994071e-05	7.15013495879735e-05	8.01330208145522e-05	0.0	5.81914109477441e-05	0.0	0.0	1.1469336728257e-06	1.32614807984511e-05	5.96861984551177e-06
Candidatus Margulisbacteria	0.0	0.0	0.0	3.99760143913652e-06	0.0	0.0	0.0	0.0	2.89755127941377e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.00272370423776e-05	2.76621346869338e-05	0.0	1.78753373969934e-05	2.0033255203638e-05	0.0	0.0	0.0	0.0	0.0	2.15051039974882e-05	7.05382345378664e-06
Deinococcota	0.0005296610169491	0.0004435858911068	0.000521410415173	0.0005396761942834	0.0003361190472552	0.0005381713271193	0.000273180504018	0.000619450753665	0.0003679890124855	0.0002997826575732	0.0003598675687347	0.0003459609064175	0.0023234451829037	0.0020208676551345	0.0007727975270479	0.0011742996141587	0.0019826964671953	0.0021576465055808	0.0024028709627086	0.0023595445364031	0.0015625939058837	0.0014906832298136	0.0016487566435194	0.0007550120667107	0.0007550124437236	4.70242805858537e-05	0.0003100319159637	0.0005090961427319
Armatimonadota	6.62076271186441e-05	2.86184445875367e-05	0.0001955289056898	3.59784129522287e-05	1.52781385116037e-05	2.77407900577008e-05	0.0	0.0	2.89755127941377e-05	0.0	2.39911712489804e-05	3.84401007130639e-05	0.0009726049602852	0.0006699615595826	0.0007727975270479	0.0006710283509478	0.0007810622446527	0.0005532426937386	0.0008581682009673	0.0006792628210857	0.0003405653384618	0.0003312629399585	0.0003297513287038	2.69647166682396e-05	0.0	6.76690866967163e-05	7.82546839908599e-05	0.0002126320819963
Mycoplasmatota	6.62076271186441e-05	3.33881853521261e-05	6.51763018966304e-05	3.19808115130921e-05	4.58344155348112e-05	3.88371060807812e-05	0.0	0.0	3.18730640735514e-05	0.0	0.0	3.84401007130639e-05	0.0002701680445236	0.0003624382207578	0.0	0.0003355141754739	0.0003805175038051	0.0001936349428085	0.000156030581994	0.0001966287113669	0.0003004988280545	0.0001656314699792	0.0004073398766342	1.34823583341198e-05	0.0	1.37632040739084e-05	0.0011577511682647	0.0001487407195591
