#OTU ID	mgm4450123	mgm4450124	mgm4450125	mgm4450126	mgm4450127	mgm4664545	mgm4664546	mgm4664547	mgm4664548	mgm4664549	mgm4664551	mgm4664552	mgm4664553	mgm4664554	mgm4664555	mgm4664556	mgm4664557	mgm4664558	mgm4664559	mgm4664560	mgm4664561	mgm4664562	mgm4664563	mgm4664564	mgm4664565	mgm4664566	mgm4664567	mgm4664568	mgm4664569	mgm4664570	mgm4664571	mgm4664572	mgm4664573	mgm4664574	mgm4664575	mgm4664576	mgm4664577	mgm4664578	mgm4664579	mgm4664580	mgm4664581	mgm4664582	mgm4664583	mgm4664584	mgm4664585	mgm4664586	mgm4664587	mgm4664588	mgm4664590	mgm4664591	mgm4664594	mgm4666456	mgm4600482	mgm4600483	mgm4600484	mgm4600485	mgm4600486	mgm4600487	mgm4600488	mgm4600474	mgm4600475	mgm4600476	mgm4600477	mgm4600478	mgm4600479	mgm4600480	mgm4600481
Pseudomonadota	0.452632436395232	0.475729111928534	0.475087143735903	0.337823864811368	0.238927893319203	0.609785891400963	0.641230690298034	0.558066325954209	0.59080450666297	0.627549042610709	0.656536052059498	0.646795007404273	0.498664525070919	0.589568794661789	0.600187322176472	0.611388536384828	0.629155188306819	0.619756623542608	0.626121844557218	0.619723247506445	0.494120106895267	0.665926300244047	0.726172881555233	0.630481503559218	0.611481798926874	0.59691925284486	0.64213420176549	0.504731687910017	0.545222816244079	0.617809832546228	0.625989929210958	0.471659831509252	0.625427420041267	0.634913993254173	0.896018078673092	0.640799049289797	0.570655644050139	0.611608817446915	0.510245396409585	0.628015030085234	0.616727883048333	0.551182129531082	0.693857746799767	0.399245743627035	0.609372356623245	0.563146028369095	0.647612906932577	0.629525975383407	0.534796542784885	0.663690133548239	0.634320192676531	0.61629307350417	0.570051160960252	0.519406150583245	0.434105075690116	0.574200913242009	0.484837861524978	0.554703987559702	0.564224758949352	0.571612903225806	0.518477331052181	0.455929336590866	0.285743505829413	0.482908182018672	0.512979641262393	0.508640552995392	0.307092651757188
Actinomycetota	0.374921936517418	0.355064372044141	0.36064325258502	0.459186386599309	0.495054532609176	0.1651006270245	0.161470001066764	0.208521385802286	0.125976674652991	0.155928978750752	0.142426063209567	0.142872609166366	0.254525200450771	0.159540493836421	0.206144520826338	0.175545191020577	0.161564169266518	0.143591337605196	0.145123851639117	0.169790941014002	0.228276281142394	0.145695493949757	0.116813752024831	0.167435625329124	0.193392956810952	0.201802577085911	0.144094308163299	0.280362288322511	0.202252107132906	0.147156897011541	0.142669882025676	0.278543987943771	0.165862456597604	0.164489496002	0.0301010235333036	0.169104181993096	0.186279451794832	0.133776291185809	0.131643423992603	0.163393375272078	0.169348836077935	0.213350671509208	0.107542773241846	0.346829934294735	0.182298294263459	0.166983103139926	0.150991576467734	0.17889662424538	0.211445557309623	0.144068939960857	0.146648598001547	0.170278363035701	0.251475796930342	0.216967126193001	0.343870584743247	0.242009132420091	0.307215892491966	0.235477063201155	0.205031585947024	0.275391705069124	0.308810949529512	0.184551775981958	0.230926569850685	0.295302506799971	0.247029440702339	0.176267281105991	0.384281150159744
Chloroflexota	0.0184908631784735	0.0131371518654756	0.0126248572014412	0.0363673963780318	0.0304896895836093	0.0044972665821869	0.003628268235318	0.0044634736203156	0.0041977704294794	0.0045370153121078	0.0032399468305954	0.0030363742704613	0.0068703773267185	0.0054351432206397	0.0040928128368706	0.004673196689941	0.0043934069799889	0.0042860204300307	0.0042405724262846	0.0042843501778366	0.0061811077642815	0.0036274037425718	0.0025940140009853	0.003937460404866	0.0040383875863582	0.0047503976272983	0.0034220539387078	0.0036979576753221	0.0056727152410142	0.0043350135583056	0.0046662730853771	0.0068557452380364	0.0039755567100177	0.0040745408806315	0.0005992295385686	0.0041491709580668	0.004789777590641	0.0045310228561156	0.0046382618075352	0.0041585292263439	0.0042202816764369	0.0056673472176783	0.0026026190134639	0.0069433881062711	0.0049943730553941	0.0066176190133115	0.0037377628962395	0.0039363744053312	0.0060964127257335	0.0035194925742574	0.0038893744929978	0.0042265341152548	0.0025580480125934	0.0044538706256627	0.0182546749777382	0.0035877364644487	0.0052585451358457	0.0127735199377985	0.006760500942037	0.0068202764976958	0.0075278015397775	0.0216124788573576	0.0206586213949683	0.0147761523193413	0.014985241807311	0.0171850998463902	0.0281150159744409
Bacillota	0.0126530723071493	0.0098857067787703	0.0096956559946102	0.0145646843333629	0.0166467964851857	0.0229683785372837	0.0203066185098828	0.0182540943897334	0.0293883531671386	0.0170412233364277	0.0146787137737526	0.0140444754165682	0.0201784950972138	0.0210712771144121	0.0147807800378179	0.0161492639532094	0.0202292453840793	0.0192291727401378	0.0198464500758775	0.0159668873188787	0.0203950420459075	0.0154850183524693	0.0121074260366426	0.0162363438555035	0.0163295517148681	0.0157379732149031	0.0163147025638452	0.0294995979937976	0.0186311472555029	0.0175189542960034	0.0312218920141912	0.0203850334758011	0.0164496180002172	0.0171452189842478	0.0087930778317084	0.0147880708505461	0.0166999756854047	0.0222884991853784	0.0373083442484013	0.0169734312975112	0.0158595023229793	0.0176750003105963	0.0171261733785467	0.0182015827140615	0.0152883717166962	0.0215565284093558	0.0146478171911558	0.0152057823021519	0.0188717764601736	0.0164677714137693	0.0163372593901511	0.0158843648662696	0.0096418732782369	0.0127253446447508	0.0168694963886415	0.0132093933463796	0.0146070698217937	0.0131067421970454	0.0166241826443533	0.0114285714285714	0.0100940975192472	0.0375869197519263	0.0517488238903661	0.0151437182974344	0.018315295542269	0.0265937019969278	0.0384664536741214
Cyanobacteriota	0.0033669119443916	0.0039411455596426	0.0039544216292217	0.0037224142515288	0.0034000088311917	0.0056603842487939	0.0046023255459546	0.0056008838864964	0.0062332930716987	0.0054245258959266	0.0049037860247709	0.004399009445115	0.0064299685237237	0.0059198056734355	0.0049286938696167	0.0053379186329068	0.0052715593685237	0.0057571679830412	0.005462363134964	0.0052166289085172	0.0064176364123439	0.0044069429917854	0.0033329886812191	0.0046284539653941	0.0046845296001755	0.0049713016819442	0.0049797297674081	0.0047874527455442	0.0061864377263861	0.0053802537399223	0.005448988418259	0.0064604590261136	0.0049470659540308	0.0049853806391696	0.0019667862663156	0.0049934921622998	0.0057524774200435	0.0059040600852415	0.0073156637645427	0.0051899678615288	0.0053075819123835	0.0059386013227261	0.0046724183863762	0.0057506019581727	0.0051010275609953	0.0065985480651463	0.0044112624445799	0.0046458593319439	0.0062759260334774	0.0046231003914344	0.0051140401074058	0.0053015493911204	0.0037386855568673	0.0055143160127253	0.0043039477589789	0.0057077625570776	0.0059596844872918	0.0056647784071976	0.0057630499833758	0.0044239631336405	0.0029940119760479	0.0095846645367412	0.006340764982614	0.0044107917371168	0.0022704911829259	0.0063364055299539	0.0023003194888178
Candidatus Melainabacteria	2.71525156805778e-05	0.0	0.0	5.90859405004579e-05	0.0001324678765399	6.39075640992868e-05	3.55588066464489e-05	6.51042913302147e-05	3.16812862602222e-05	3.06038132351291e-05	2.14228222426022e-05	2.98659764307669e-05	5.1812800352327e-05	4.61583288377044e-05	6.71532330747345e-05	3.11302287339336e-05	6.21583768993021e-05	6.37111145004566e-05	3.6714912781685e-05	5.74603926804498e-05	4.70443719903036e-05	3.13382612749188e-05	3.54788941127337e-05	4.81156057621111e-05	3.49591761207128e-05	6.14689543362505e-05	2.78820255733939e-05	4.82740367248896e-05	5.44197548063527e-05	5.46639080718714e-05	5.33669545146776e-05	3.70580823677644e-05	3.96234888041631e-05	4.59246937078067e-05	6.5668990528069e-06	5.88534887669062e-05	5.73270945640077e-05	5.09580827304473e-05	5.77856537483627e-05	3.85584536517747e-05	5.59460971516139e-05	3.93421984420489e-05	1.68766401984693e-05	1.48402631178651e-05	4.04551572970071e-05	4.66178732926204e-05	2.55355278991602e-05	6.96815552923141e-05	4.57582941307948e-05	4.22734860695372e-05	5.34513875351364e-05	5.83145078889388e-05	0.0	0.0	4.94706638963095e-05	0.0	5.8428279287175e-05	0.0	0.0	0.0	0.0	0.0	0.0002045408058907	7.35131956186135e-05	0.0	0.0001920122887864	0.0
Candidatus Margulisbacteria	2.71525156805778e-05	0.0	0.0	0.0	2.20779794233232e-05	1.64333736255309e-05	2.15892754639154e-05	1.91483209794749e-05	1.18804823475833e-05	2.04025421567527e-05	1.32617471025633e-05	1.11997411615376e-05	2.33157601585472e-05	3.17338510759218e-05	1.41375227525757e-05	1.64807093297296e-05	1.71927425466155e-05	1.1583839000083e-05	1.83574563908425e-05	1.54949373520314e-05	2.09086097734683e-05	2.15450546265067e-05	1.11505095782877e-05	1.6038535254037e-05	1.56713548127333e-05	1.34463337610548e-05	1.11528102293575e-05	2.41370183624448e-05	3.04750626915575e-05	1.82213026906238e-05	1.77889848382259e-05	1.23526941225881e-05	1.76104394685169e-05	1.27568593632796e-05	7.38776143440776e-06	2.03723614962368e-05	1.18607781856568e-05	2.12325344710197e-05	2.88928268741814e-05	2.89188402388311e-05	1.45946340395515e-05	3.31302723722517e-05	1.4465691598688e-05	1.66952960075982e-05	7.35548314491037e-06	2.11899424057365e-05	9.57582296218507e-06	1.39363110584628e-05	2.28791470653974e-05	1.61898457287589e-05	1.57209963338637e-05	1.52124803188536e-05	0.0	0.0	0.0	0.0	0.0001168565585743	0.0	0.0001108278842956	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Deinococcota	0.0022808113171685	0.0021676300578034	0.0022554849292597	0.0024225235605187	0.0021857199629089	0.002605602684848	0.0022744936679925	0.0027554433889464	0.0030730847672415	0.0027058871535393	0.0023575305810787	0.0022822583655844	0.0034351886633592	0.0029916366877937	0.0023786382031208	0.0028218636752348	0.0026781002812997	0.0026681442496857	0.0026128779596299	0.0026167075453243	0.0033349232588681	0.0023523282369485	0.0017354247634571	0.002401770654292	0.0024121831523291	0.0025240689374322	0.002377407380558	0.0024578143180792	0.0030910420730008	0.0026569972287055	0.0026550059871052	0.0032827284630778	0.0025476435764454	0.0023804299571879	0.0005975878138054	0.0023699847207288	0.0027121646117868	0.0029810478397311	0.0032032514061175	0.0027106592917197	0.0026805477852642	0.003031419922061	0.0021626208940038	0.0032314672939151	0.0024677645951174	0.0034624365890973	0.0024131073864706	0.0022994913246463	0.0031221236072319	0.0022180088648399	0.0025200757123183	0.0026723257093452	0.0025580480125934	0.0016967126193001	0.002720886514297	0.0013046314416177	0.0039146947122407	0.0037765189381317	0.0019949019173224	0.0025806451612903	0.0028229255774166	0.0011276075925577	0.00265903047658	0.0019113430860839	0.0014379777491864	0.0010560675883256	0.0021725239616613
Armatimonadota	0.0005430503136115	0.0005583289542827	0.0006151322534344	0.0012703477207598	0.0010155870534728	0.0008636650805417	0.0006654576672406	0.0010397538291854	0.0008791556937211	0.0009920736123721	0.0007508189128835	0.0007802486342537	0.0012538697685263	0.0009693249055917	0.0008146747486171	0.0009906737497092	0.0008265741608949	0.0009324990395066	0.0008199663854576	0.0009109731918215	0.0011186106228805	0.0006855244653888	0.0006943726419206	0.0009369177677566	0.0009173770009607	0.0008163845497783	0.0008271667586773	0.0008348079109493	0.0012429471997771	0.0009060956883428	0.0009305862693496	0.0013896780887911	0.0008379634113769	0.0009618671959912	0.0001198459077137	0.0008511119913983	0.0011129363530874	0.0009342315167248	0.0009707989829724	0.0008309346761957	0.000875678042373	0.0010187558754467	0.0005207648975527	0.0012669874636877	0.0008532360448096	0.0013625132966888	0.0008426724206722	0.0008121068534976	0.0011562768939973	0.0007051577250748	0.0008347849053281	0.0008696467915611	0.0005903187721369	0.0014846235418875	0.0015830612446819	0.0006523157208088	0.0012269938650306	0.0016661112962345	0.0012191067272525	0.0011059907834101	0.0010265183917878	0.0007517383950385	0.0006136224176723	0.0010291847386605	0.0006811473548777	0.0009600614439324	0.0016613418530351
Mycoplasmatota	0.0001629150940834	3.28428796636889e-05	8.78760362049269e-05	0.0003249726727525	0.0001766238353865	0.0002264153699517	0.0001943034791752	0.0001953128739906	0.0002494901292992	0.0002346292348026	0.000224429566351	0.000200350925223	0.0001476664810041	0.0001904031064555	0.0001325392758053	0.0001611447134462	0.0001494446082898	0.0002625670173352	0.0001917334334154	0.0001717355556516	0.0001764163949636	0.000172360437012	0.0001925997108976	0.0002004816906754	0.0002820843866292	0.0001613560051326	0.0002527970318654	0.0002405378726464	0.0001523753134577	0.0002484723094175	0.0002357040491064	0.0001420559824097	0.0001819745411746	0.0002602399310109	0.0001108164215161	0.0001810876577443	0.0002055868218847	0.000230726874585	0.0002735187610755	0.0002487020260539	0.0001362165843691	0.0001594394357914	0.0002230127454797	8.34764800379911e-05	0.000121365471891	0.0002118994240573	0.0001883245182563	0.0001216259874193	0.0001795133077438	0.000164596764909	0.0002106613508737	0.0001343769094832	0.0001967729240456	0.0	0.0002968239833778	0.0003261578604044	0.0	0.0	0.0002216557685913	0.000184331797235	8.55431993156544e-05	0.0007517383950385	0.0014317856412354	7.35131956186135e-05	0.0002270491182925	0.0011520737327188	0.0
