#OTU ID	mgm4612434	mgm4482714	mgm4483800	mgm4483883	mgm4483943	mgm4484670	mgm4484859	mgm4484865	mgm4486239	mgm4718316	mgm4718317	mgm4718318	mgm4718320	mgm4718322	mgm4718324	mgm4718325	mgm4718326	mgm4718328	mgm4718329	mgm4718330	mgm4718331	mgm4718332	mgm4718333	mgm4718334	mgm4718335	mgm4718336	mgm4718337	mgm4718338	mgm4718339	mgm4718340	mgm4718341	mgm4718342	mgm4718343	mgm4718344	mgm4718345	mgm4718346	mgm4718347	mgm4718348	mgm4718349	mgm4718350	mgm4718351	mgm4718353	mgm4718355	mgm4718356	mgm4718357	mgm4718358	mgm4718359	mgm4718360	mgm4718361	mgm4718362	mgm4718363	mgm4718364	mgm4578704	mgm4578705	mgm4578706
Pseudomonadota	0.174564898145852	0.0472744792821376	0.0962426963491968	0.0789808869892645	0.0813283644562708	0.0502980321901811	0.167585156957233	0.0823454001512386	0.037587741622235	0.10172570390554	0.0859618717504333	0.0626614987080103	0.125813449023861	0.10219530658592	0.146997389033943	0.125093632958801	0.241471571906355	0.0676432572167169	0.100357437448447	0.0803486829638052	0.0562877965576058	0.0876308646762311	0.0754147812971342	0.0695431472081218	0.0611473720371007	0.108480176211454	0.124001878816346	0.115859449192783	0.0755613126079447	0.0756710798008016	0.186279977691021	0.110421286031042	0.086501569584932	0.0571944611679711	0.0884217550884218	0.0566072754268745	0.0673100717644148	0.0636461704422869	0.134113411341134	0.16988608221892	0.116469517743403	0.112984822934233	0.0704225352112676	0.104166666666667	0.115484429065744	0.116374269005848	0.0830728003573024	0.0871780356637419	0.101421800947867	0.107556977209116	0.0674603174603175	0.131527093596059	0.0921435981818552	0.090555406493158	0.0875306289136945
Actinomycetota	0.116607954493629	0.0507374646461549	0.122445304149233	0.0742157344519827	0.0798923818375663	0.0572504845966575	0.214531769677887	0.14002443840089	0.01956788036246	0.0181653042688465	0.0155979202772964	0.0193798449612403	0.0137382501807664	0.0181680545041635	0.0177545691906005	0.0257178526841448	0.0160535117056856	0.0200344679017665	0.0208963431399505	0.0185711578548418	0.0212436036594821	0.0255913144629701	0.0129713423831071	0.0233502538071066	0.0192373754723463	0.0165198237885463	0.0112728980742132	0.0297562519784742	0.0170552677029361	0.0167618122191182	0.0133853876185165	0.0168514412416851	0.0224392512498547	0.0189644792293799	0.0173506840173507	0.0120638455827765	0.0178173719376392	0.0129449838187702	0.0213021302130213	0.0198117880138683	0.0222929936305732	0.0229342327150084	0.0186116700201207	0.024390243902439	0.018598615916955	0.0222222222222222	0.029477445288075	0.0300028304557034	0.0151658767772512	0.0239904038384646	0.0198412698412698	0.0123152709359606	0.139012135280463	0.154250833684695	0.191609379254016
Chloroflexota	0.0046314984745158	0.0009341070580333	0.0020896083237768	0.0016875464436299	0.0007968732996233	0.0009414487866315	0.0019028901861097	0.0023903223605648	0.0007997340920038	0.0054495912806539	0.0038128249566724	0.0032299741602067	0.0	0.0052990158970476	0.004177545691906	0.0019975031210986	0.0053511705685618	0.0028005170185265	0.0038493263678856	0.0017055144968732	0.0023259420065126	0.0015509887553315	0.0012066365007541	0.0050761421319797	0.0013740982480247	0.0044052863436123	0.0014091122592766	0.0034821145932257	0.0023747841105354	0.0009716992590793	0.0022308979364194	0.001330376940133	0.0013951866062085	0.0024081878386514	0.002002002002002	0.0014847809948032	0.0014847809948032	0.0016181229773462	0.0033003300330033	0.0019811788013868	0.0040946314831665	0.0040472175379426	0.0005030181086519	0.0040650406504065	0.0051903114186851	0.0023391812865497	0.0035730236712818	0.0028304557033682	0.0018957345971564	0.0015993602558976	0.0009920634920634	0.0014778325123152	0.0022240856725033	0.0022806546820499	0.0019738633269806
Bacillota	0.237366524112789	0.787625726947163	0.422997470858409	0.587786042216718	0.733982258160104	0.767672448564209	0.420287575590078	0.679470068269829	0.84206472102992	0.262488646684832	0.168110918544194	0.270025839793282	0.221258134490239	0.369417108251325	0.256657963446475	0.418476903870162	0.233444816053512	0.143041792330892	0.170195215837228	0.127724085654728	0.184679795317103	0.26250484683986	0.10316742081448	0.294416243654822	0.14943318447269	0.226321585903084	0.227806481916393	0.274770496992719	0.150474956822107	0.136037896271104	0.2643614054657	0.251884700665188	0.15765608650157	0.165261890427453	0.19285952619286	0.0785077951002227	0.165058153922296	0.227615965480043	0.265226522652265	0.213967310549777	0.271610555050045	0.302192242833052	0.175553319919517	0.353658536585366	0.216695501730104	0.325730994152047	0.355069227333631	0.266062836116615	0.211374407582938	0.358256697321072	0.206845238095238	0.175369458128079	0.379197566163158	0.465349380965158	0.310032670841274
Cyanobacteriota	0.0065193951688087	0.002578744171488	0.0041991733075292	0.0037451978163396	0.0015218855191044	0.0025205554314693	0.0034128193183049	0.0038969894030812	0.0023963306993796	0.0145322434150772	0.0027729636048526	0.0103359173126615	0.0151843817787419	0.0105980317940954	0.0060052219321148	0.0072409488139825	0.0053511705685618	0.00430848772081	0.0049491339015672	0.0041690354368012	0.0043417584121569	0.0073671965878247	0.004524886877828	0.0096446700507614	0.0041222947440742	0.0077092511013215	0.0079849694692343	0.0056980056980057	0.0049654576856649	0.0030365601846228	0.0094813162297824	0.0088691796008869	0.0043018253691431	0.0054184226369656	0.003003003003003	0.005011135857461	0.0056916604800791	0.0064724919093851	0.0057005700570057	0.0074294205052005	0.0090991810737033	0.006070826306914	0.0080482897384305	0.0066056910569105	0.0082179930795847	0.0058479532163742	0.009825815096025	0.0050948202660628	0.0075829383886255	0.0047980807676929	0.0069444444444444	0.0034482758620689	0.0041769413849453	0.0051841772394495	0.0032500680642526
Candidatus Melainabacteria	0.0003561548932267	5.08023136825146e-05	0.0001143857340059	8.95348602121522e-05	4.31579475566923e-05	6.50480959559669e-05	8.0389745464096e-05	0.000114389037935	5.69529365340884e-05	0.0072661217075386	0.0107452339688042	0.0064599483204134	0.0065075921908893	0.0030280090840272	0.0067885117493472	0.0049937578027465	0.0046822742474916	0.0079707022834984	0.00687379708551	0.0087170740951298	0.0052721352147619	0.0054284606436603	0.0054298642533936	0.0060913705583756	0.0068704912401236	0.0093612334801762	0.0079849694692343	0.0101297879075657	0.0049654576856649	0.0034009474067776	0.0061349693251533	0.0062084257206208	0.0063946052784559	0.0111378687537628	0.0013346680013346	0.0061247216035634	0.0037119524870081	0.0091693635382955	0.0054005400540054	0.0054482417038137	0.0036396724294813	0.0047217537942664	0.0125754527162978	0.0060975609756097	0.0056228373702422	0.0029239766081871	0.0044662795891022	0.0056609114067364	0.0161137440758294	0.0067972810875649	0.0064484126984127	0.0044334975369458	0.0003345169507423	0.0003545555598144	0.0002127007895453
Candidatus Margulisbacteria	5.19701898990739e-05	1.4046722677193e-05	2.38506424097521e-05	2.64065947169481e-05	1.11508572634516e-05	2.33147297333215e-05	1.99726075687195e-05	1.59327588552435e-05	2.10582286344528e-05	0.0009082652134423	0.0	0.0006459948320413	0.0014461315979754	0.0	0.0002610966057441	0.0002496878901373	0.0	0.0	0.0002749518834204	0.0001895016107636	0.0	0.0003877471888328	0.0003016591251885	0.0	0.0	0.0	0.0	0.0	0.0002158894645941	0.0	0.0011154489682097	0.0	0.0001162655505173	0.0	0.0	0.0	0.0	0.000539374325782	0.0003000300030003	0.0	0.0	0.0	0.0010060362173038	0.0	0.0	0.0	0.0004466279589102	0.0005660911406736	0.0009478672985781	0.0	0.0	0.0	6.10267410138124e-05	0.0001054084096745	0.0001106044105635
Deinococcota	0.0028999365963683	0.0005693604925155	0.0011560260351665	0.0008441858248574	0.0004041153271217	0.0003839935987078	0.0011574126086073	0.0010817934730432	0.0004242754473736	0.0009082652134423	0.0010398613518197	0.0006459948320413	0.0	0.0007570022710068	0.0007832898172323	0.0014981273408239	0.0006688963210702	0.0006462731581214	0.0005499037668408	0.0011370096645821	0.000930376802605	0.0015509887553315	0.0	0.0015228426395939	0.0003435245620061	0.0016519823788546	0.0009394081728511	0.0012662234884457	0.0006476683937823	0.0012146240738491	0.0005577244841048	0.0017738359201773	0.0013951866062085	0.0012040939193257	0.0003336670003336	0.000927988121752	0.0012373174956693	0.0010787486515641	0.0006000600060006	0.0	0.0009099181073703	0.0010118043844856	0.0015090543259557	0.0015243902439024	0.0012975778546712	0.0005847953216374	0.0013398838767306	0.0011321822813473	0.0009478672985781	0.0007996801279488	0.0014880952380952	0.0009852216748768	0.0017810767377364	0.0015811261451186	0.0014974135583991
Armatimonadota	0.0007526131990282	9.94976189634502e-05	0.0002725787703971	0.0002207426277119	9.64342655931833e-05	0.0001074809040706	0.0002306836174187	0.0002087599942315	7.84897612738697e-05	0.0	0.0	0.0	0.0007230657989877	0.0	0.0	0.0002496878901373	0.0	0.0	0.0	0.0001895016107636	0.0001550628004341	0.0	0.0	0.0005076142131979	0.0006870491240123	0.0	0.0	0.0	0.0002158894645941	0.0002429248147698	0.0	0.0008869179600886	0.0003487966515521	0.0	0.0	0.0001855976243504	0.0	0.0	0.0	0.0	0.0	0.0003372681281618	0.0	0.0	0.0008650519031141	0.0	0.0	0.0002830455703368	0.0	0.0003998400639744	0.0	0.0	0.0004475294341012	0.0002012342366514	0.0003318132316907
Mycoplasmatota	0.0026356310591673	0.001514470816646	0.0013492649134659	0.0015505622335358	0.0014035625336977	0.0020202213313923	0.0010805180694677	0.0018383952525281	0.0016724540900703	0.0108991825613079	0.0180242634315425	0.0329457364341085	0.0202458423716558	0.020439061317184	0.0093994778067885	0.0137328339575531	0.0193979933110368	0.0118483412322275	0.0107231234533957	0.0085275724843661	0.0079082028221429	0.0120201628538193	0.0135746606334842	0.017258883248731	0.0133974579182412	0.0154185022026432	0.009394081728511	0.0129787907565685	0.0094991364421416	0.0072877444430948	0.0139431121026213	0.0150776053215078	0.0077897918846645	0.0141481035520771	0.0146813480146813	0.0081662954714179	0.0106409304627567	0.0134843581445523	0.0111011101110111	0.011887072808321	0.0177434030937216	0.0145025295109612	0.0186116700201207	0.0116869918699187	0.0190311418685121	0.0116959064327485	0.015631978561858	0.0150014152278517	0.0312796208530806	0.0075969612155137	0.0143849206349206	0.0103448275862069	0.0093303106261117	0.007848135229407	0.0041689354750884
