,Acidobacteriota,Actinomycetota,Aquificota,Armatimonadota,Atribacterota,Bacillota,Bacteroidota,Bdellovibrionota,Caldisericota,Campylobacterota,Candidatus.Absconditabacteria,Candidatus.Adlerbacteria,Candidatus.Amesbacteria,Candidatus.Aminicenantes,Candidatus.Azambacteria,Candidatus.Bathyarchaeota,Candidatus.Beckwithbacteria,Candidatus.Berkelbacteria,Candidatus.Blackallbacteria,Candidatus.Buchananbacteria,Candidatus.Collierbacteria,Candidatus.Colwellbacteria,Candidatus.Curtissbacteria,Candidatus.Daviesbacteria,Candidatus.Diapherotrites,Candidatus.Doudnabacteria,Candidatus.Eisenbacteria,Candidatus.Falkowbacteria,Candidatus.Firestonebacteria,Candidatus.Fischerbacteria,Candidatus.Glassbacteria,Candidatus.Gottesmanbacteria,Candidatus.Gracilibacteria,Candidatus.Handelsmanbacteria,Candidatus.Heimdallarchaeota,Candidatus.Kaiserbacteria,Candidatus.Kerfeldbacteria,Candidatus.Komeilibacteria,Candidatus.Levybacteria,Candidatus.Lindowbacteria,Candidatus.Liptonbacteria,Candidatus.Magasanikbacteria,Candidatus.Melainabacteria,Candidatus.Micrarchaeota,Candidatus.Moranbacteria,Candidatus.Nealsonbacteria,Candidatus.Nomurabacteria,Candidatus.Omnitrophica,Candidatus.Peregrinibacteria,Candidatus.Portnoybacteria,Candidatus.Ratteibacteria,Candidatus.Roizmanbacteria,Candidatus.Rokubacteria,Candidatus.Ryanbacteria,Candidatus.Saccharibacteria,Candidatus.Schekmanbacteria,Candidatus.Staskawiczbacteria,Candidatus.Tectomicrobia,Candidatus.Terrybacteria,Candidatus.Thermoplasmatota,Candidatus.Uhrbacteria,Candidatus.Wallbacteria,Candidatus.Wildermuthbacteria,Candidatus.Woesebacteria,Candidatus.Wolfebacteria,Candidatus.Yanofskybacteria,Candidatus.Yonathbacteria,Candidatus.Zambryskibacteria,Chlamydiota,Chlorobiota,Chloroflexota,Cyanobacteriota,Deferribacterota,Deinococcota,Elusimicrobiota,Euryarchaeota,Fibrobacterota,Fusobacteriota,Gemmatimonadota,Ignavibacteriota,Kiritimatiellota,Lentisphaerota,Mycoplasmatota,Myxococcota,Nitrososphaerota,Nitrospinota,Nitrospirota,Planctomycetota,Pseudomonadota,Spirochaetota,Synergistota,Thermodesulfobacteriota,Thermomicrobiota,Thermoproteota,Thermotogota,Verrucomicrobiota,candidate.division.NC10,candidate.division.WWE3,candidate.division.Zixibacteria
Nitrospirota,0.0001,0.001,-0.0017,0.0005,-0.0016,0.0001,0.0003,0.0003,0.0017,0.0015,-0.0006,-0.0007,-0.003,-0.0013,-0.0009,0.0038,-0.0029,-0.0017,-0.0016,-0.0014,-0.0014,0.0026,0.002,-0.001,0.0004,-0.0027,0.0018,-0.0037,-0.001,-0.0035,0.0004,0.0038,0.0003,-0.0035,-0.0042,0.0022,-0.003,-0.0003,-0.0044,0.0056,-0.002,0.0033,-0.0043,0.0012,0.0012,-0.0034,-0.0006,0.0014,-0.0023,-0.0017,-0.0012,-0.0024,-0.0004,-0.0073,0.0012,0.0018,0.0055,-0.0013,-0.0008,0.0005,-0.0003,-0.0009,-0.0026,0.002,-0.0002,-0.002,0.0028,-0.0011,-0.0038,-0.0045,0.0001,-0.0034,-0.0021,-0.0041,-0.0,-0.0043,0.0015,-0.0064,-0.0042,-0.0007,-0.0046,-0.0006,0.002,-0.0018,-0.0005,0.0023,1.0,-0.0037,-0.0004,-0.0002,-0.0012,0.0002,-0.0021,-0.0015,0.0007,-0.0049,-0.0025,0.0025,-0.0011
Planctomycetota,-0.0028,-0.004,-0.0033,0.0016,-0.0021,-0.002,-0.0018,0.0029,-0.0028,-0.0025,-0.002,0.0014,-0.0021,-0.0014,0.0018,-0.0067,-0.0022,-0.0035,-0.0001,-0.0074,0.0025,-0.0009,-0.0022,-0.0027,-0.0037,-0.0026,0.0029,-0.0045,-0.0003,-0.0016,-0.0031,-0.0001,-0.001,-0.0028,-0.0076,0.0057,-0.003,0.0015,0.0023,-0.0003,0.0018,-0.0056,-0.0043,-0.0019,-0.0008,-0.0042,-0.0004,-0.001,-0.0064,0.0005,0.001,-0.0014,0.0016,0.0005,-0.0053,-0.0013,0.0025,-0.005,-0.0014,-0.0008,0.0038,0.0036,0.0039,-0.0043,0.0009,-0.0058,-0.0022,-0.0033,-0.0011,0.0018,-0.0022,-0.0005,0.0007,-0.0017,-0.0029,0.0003,-0.0014,-0.0,-0.0049,-0.0032,-0.0027,0.0024,-0.0001,-0.0021,-0.0009,0.0008,-0.0037,1.0,-0.0028,-0.0023,0.0007,-0.0028,-0.002,0.0009,0.0061,-0.0005,0.0013,-0.0045,-0.0012
Pseudomonadota,-0.0033,-0.0229,0.0018,-0.0006,-0.0044,-0.0128,0.0013,0.0002,-0.0014,-0.0003,0.0021,0.0008,0.0045,0.0034,-0.0024,-0.0019,0.0013,-0.0022,-0.0047,0.0016,-0.0005,-0.0003,0.0035,-0.0055,-0.0034,-0.006,-0.0029,0.0011,-0.0018,-0.0009,-0.0002,-0.0016,-0.0004,-0.0052,0.0033,0.0022,0.0023,-0.0012,0.0008,-0.0017,-0.0033,-0.0026,-0.0006,0.0021,-0.0038,0.001,-0.0013,0.0019,-0.0039,-0.0025,-0.0038,0.0017,0.0009,0.0003,0.001,-0.001,-0.0046,-0.0004,-0.0008,-0.0018,0.0026,-0.002,0.0012,-0.0021,-0.0,0.0051,-0.0008,0.0,-0.0005,-0.0073,-0.0029,-0.0007,0.0032,-0.0011,-0.0025,-0.0029,-0.0002,0.0007,0.0004,0.0038,-0.0007,-0.0057,-0.0022,-0.0029,0.0053,0.0007,-0.0004,-0.0028,1.0,-0.0018,-0.0024,0.0001,0.0016,-0.001,-0.0048,-0.0021,-0.0045,0.002,0.0004
Spirochaetota,-0.0023,0.0007,0.0007,-0.0025,-0.0027,-0.0021,-0.0001,-0.0036,0.002,0.0021,0.0006,-0.0016,0.0006,-0.0022,0.0017,-0.0003,-0.0011,0.0036,-0.0001,0.0021,0.0006,-0.0012,-0.0013,0.0004,-0.001,0.0025,-0.0031,0.0007,-0.0032,0.0009,-0.0026,0.0033,-0.0007,-0.0009,0.0028,0.0007,0.003,-0.0006,-0.0,-0.0009,-0.0045,-0.0031,0.0021,-0.0019,-0.0004,-0.0027,0.0,-0.0034,-0.0027,-0.0039,-0.002,-0.0021,0.0018,-0.0035,-0.0035,-0.0019,-0.0054,-0.0025,-0.001,-0.0018,-0.0051,0.0016,0.0013,-0.0009,-0.002,0.0024,-0.0006,-0.0,-0.0061,0.0038,0.0046,-0.0027,0.0017,0.0002,-0.0006,0.0,-0.0002,-0.0058,0.002,-0.0008,-0.0039,-0.0024,0.0007,-0.0032,0.0021,0.0023,-0.0002,-0.0023,-0.0018,1.0,-0.001,-0.0039,-0.0008,-0.0007,0.0002,-0.0026,-0.0004,-0.004,-0.0009
Synergistota,-0.0003,0.0008,-0.0027,-0.0026,0.0015,-0.003,-0.0026,-0.0033,-0.0023,-0.0035,0.0021,-0.0063,-0.005,-0.0021,-0.0006,-0.002,0.001,0.0006,0.0007,-0.0004,0.0055,-0.0032,-0.0023,-0.0006,0.003,0.0018,-0.001,-0.0034,0.0017,-0.0011,-0.0007,0.001,-0.0011,0.0015,-0.0026,0.0023,-0.002,-0.0015,-0.0024,-0.0015,-0.0013,-0.0015,-0.0021,-0.0034,-0.0012,-0.0015,0.0005,0.0004,-0.0001,-0.0019,-0.0029,0.0016,-0.0028,-0.0037,0.0031,-0.0026,-0.0046,-0.0001,0.0,-0.0038,-0.0025,-0.006,0.0001,-0.0038,-0.0032,-0.0015,-0.0001,0.0018,-0.0031,-0.004,-0.0032,-0.0002,-0.0003,0.0027,0.0003,0.0026,-0.0018,0.0014,-0.0014,-0.0022,-0.0037,-0.0026,-0.0006,-0.0022,-0.0046,-0.0015,-0.0012,0.0007,-0.0024,-0.001,1.0,0.0007,0.0024,-0.0022,-0.0027,-0.0033,-0.0022,-0.0031,0.0014
Thermodesulfobacteriota,0.0016,-0.004,-0.0006,-0.0038,0.0012,0.0017,0.0017,-0.0026,-0.0024,-0.0029,-0.0002,-0.0001,0.0001,-0.003,-0.0003,-0.0008,-0.0059,0.0011,-0.0023,-0.0065,-0.0005,-0.0014,-0.0016,-0.0026,0.0007,-0.0007,-0.0007,0.0005,-0.0025,-0.0019,0.0007,-0.0021,-0.0006,-0.0019,0.0013,0.0028,0.0027,0.0046,0.0008,0.0004,0.002,-0.0025,-0.0022,-0.0005,-0.0029,-0.0025,-0.0046,-0.0021,-0.0006,-0.0009,-0.0047,-0.0002,-0.0025,-0.0054,-0.0003,-0.0031,0.0021,-0.0033,-0.0012,0.0013,-0.0007,0.0005,-0.0005,-0.0018,-0.0047,0.0014,-0.0016,-0.0003,-0.0013,-0.0031,0.0022,-0.0039,0.0012,0.0022,-0.0028,-0.0006,-0.005,-0.0037,0.0033,0.0031,0.0011,-0.0045,-0.0032,-0.0015,-0.0016,-0.0059,0.0002,-0.0028,0.0001,-0.0039,0.0007,1.0,0.001,-0.0037,0.001,-0.0005,-0.0009,0.0026,-0.0037
Thermomicrobiota,-0.0039,-0.0025,0.0018,-0.0023,-0.0001,0.0044,-0.0046,-0.003,0.0025,-0.0007,0.0018,-0.0023,0.0024,0.0008,0.0015,0.004,-0.0061,-0.0045,0.0025,-0.0051,0.0007,-0.0026,-0.0008,-0.0009,0.001,0.0037,-0.0006,0.0009,0.0001,0.0001,-0.0039,-0.0023,-0.001,-0.0023,-0.0006,-0.001,-0.0043,0.0028,-0.0056,0.0006,-0.0018,-0.0027,-0.0008,-0.0043,-0.0015,0.001,-0.0044,0.0003,-0.0024,-0.0012,-0.0022,-0.0028,-0.004,-0.0008,0.0035,0.0009,-0.0002,0.0006,-0.0013,-0.0024,0.0003,-0.0024,0.0004,-0.0003,-0.0021,-0.0003,-0.0027,-0.0033,-0.0042,-0.0012,0.0018,-0.0068,0.0014,-0.0015,-0.0002,-0.0028,-0.0033,-0.0036,-0.0009,-0.0007,0.0009,0.0001,-0.0011,-0.0023,0.0011,-0.0015,-0.0021,-0.002,0.0016,-0.0008,0.0024,0.001,1.0,-0.0011,0.0048,-0.0022,-0.0002,0.0006,-0.0006
Thermoproteota,0.0029,-0.0023,-0.0011,0.0014,-0.0035,-0.0014,0.0016,-0.0018,0.0008,-0.0005,0.0016,0.0005,0.0024,-0.0046,-0.0051,0.001,0.0004,-0.0025,-0.0022,-0.0016,0.0018,-0.0012,-0.0044,0.0023,-0.0013,-0.0011,-0.0031,-0.0007,0.0027,-0.0019,-0.0026,-0.0048,-0.0023,-0.0055,-0.0023,0.0013,-0.0008,0.0012,-0.0007,0.0001,0.0013,-0.0025,0.0018,0.0013,0.0008,-0.0019,0.0014,-0.0036,-0.0042,-0.0004,-0.0055,0.0032,-0.0016,-0.0052,-0.0032,-0.0013,-0.0001,0.0014,0.001,-0.0035,0.0002,-0.0001,0.0027,-0.0005,-0.001,-0.0038,0.0006,-0.0039,-0.002,-0.0077,-0.0003,-0.0037,-0.0003,-0.0068,-0.004,-0.0004,-0.0007,0.0041,-0.0014,-0.0065,0.0028,-0.0029,-0.0045,-0.0006,-0.0035,0.0062,-0.0015,0.0009,-0.001,-0.0007,-0.0022,-0.0037,-0.0011,1.0,0.0018,-0.0024,-0.001,-0.0011,-0.0027
Thermotogota,-0.0017,0.0033,0.0008,-0.002,-0.0044,0.0018,0.0016,0.0023,-0.0001,0.0006,0.0016,0.0004,0.0008,-0.0028,0.0022,-0.0012,0.0008,0.002,-0.0013,-0.0058,-0.0004,0.0025,0.0011,0.0003,-0.0011,0.0013,-0.0022,-0.0023,-0.0015,-0.0009,-0.0007,-0.0007,0.0021,-0.0048,-0.0014,-0.0058,-0.0026,0.0004,-0.0016,-0.0009,0.0017,-0.003,-0.0057,0.0,-0.0001,0.0004,-0.004,-0.0025,0.0023,-0.0037,0.0019,-0.006,-0.0021,0.0015,-0.0016,-0.0025,-0.0006,-0.0056,-0.0004,0.0003,-0.0016,0.0009,-0.0018,-0.0009,-0.0013,-0.0021,-0.0017,-0.0005,-0.0005,0.0002,-0.0006,0.0,0.0029,0.0003,0.001,-0.0053,-0.002,-0.0042,-0.0015,0.002,0.0008,0.0027,-0.0035,0.0006,-0.0054,-0.0002,0.0007,0.0061,-0.0048,0.0002,-0.0027,0.001,0.0048,0.0018,1.0,-0.0052,-0.0002,-0.0037,-0.0013
Verrucomicrobiota,0.0001,0.0019,-0.0026,-0.0053,0.0026,-0.0012,-0.0035,0.0011,-0.0015,-0.0049,-0.0009,-0.0012,-0.001,-0.0031,-0.0054,-0.0,0.0007,-0.0054,-0.0014,-0.0034,-0.0064,-0.0001,-0.0012,-0.0027,-0.0001,-0.0026,-0.0035,-0.0017,-0.0012,0.0006,0.0028,-0.0035,0.0002,0.0032,-0.0001,-0.0017,-0.0006,-0.0059,-0.0037,-0.0027,-0.0045,-0.0017,0.0026,-0.0066,-0.0015,0.0053,-0.0031,-0.0043,0.0013,-0.0002,0.0017,0.0021,-0.002,0.0004,-0.0007,-0.0025,0.0007,-0.0028,0.0008,-0.0019,-0.0004,0.0001,0.0004,0.0023,0.0007,-0.0028,0.0017,-0.004,-0.0006,-0.0014,-0.0013,-0.0005,-0.0003,-0.0004,-0.0038,-0.0011,-0.0019,-0.0005,0.0019,0.0008,-0.0003,0.0065,-0.0029,-0.0003,-0.0033,0.0014,-0.0049,-0.0005,-0.0021,-0.0026,-0.0033,-0.0005,-0.0022,-0.0024,-0.0052,1.0,-0.0017,0.0038,-0.0048
candidate.division.NC10,-0.0008,0.0016,-0.0013,0.0007,0.0007,-0.0,0.0016,-0.0036,-0.0013,-0.0023,0.0038,-0.0033,-0.0043,0.0003,0.0032,0.0025,-0.0002,-0.0005,-0.0021,0.0005,-0.0053,-0.0044,-0.0033,0.0005,-0.0016,0.0033,0.0001,0.0013,-0.0013,-0.001,-0.0001,-0.0019,0.0008,0.0007,-0.0031,0.0025,-0.0026,0.0026,-0.0055,-0.0018,-0.0025,0.0,0.0046,0.0008,-0.0036,0.0001,-0.0003,0.002,0.0009,-0.0005,0.0001,-0.0053,-0.0003,0.0014,-0.0016,-0.0013,-0.0029,-0.0039,-0.0038,0.0027,0.0,0.0025,-0.0034,-0.0024,0.0019,0.0,-0.0014,-0.0036,0.0003,0.0039,-0.0004,-0.0024,-0.0035,-0.0011,-0.0013,-0.0005,-0.0005,-0.0016,-0.0043,0.0,0.0018,-0.0009,-0.0023,-0.0035,-0.0021,-0.0006,-0.0025,0.0013,-0.0045,-0.0004,-0.0022,-0.0009,-0.0002,-0.001,-0.0002,-0.0017,1.0,-0.0023,-0.0017
candidate.division.WWE3,-0.002,0.0019,-0.0011,-0.0018,-0.0011,0.0025,-0.002,-0.0024,-0.0006,0.0008,-0.0006,-0.001,-0.0038,-0.003,-0.0045,-0.0009,0.0011,-0.0023,-0.0007,-0.0008,-0.0005,0.0029,0.0003,-0.003,0.0007,-0.0008,-0.0036,-0.0016,-0.0022,-0.0013,0.0006,0.0006,-0.0003,-0.0028,0.0016,-0.0022,-0.0054,-0.0002,-0.0013,-0.0014,-0.0031,-0.0009,0.0002,0.0007,-0.0028,-0.0033,0.0006,0.0025,-0.0008,0.0014,-0.0042,-0.0004,-0.001,-0.0033,-0.0051,0.0011,0.002,-0.0002,0.0005,-0.0028,-0.0007,-0.0041,-0.002,-0.0019,-0.0027,-0.0007,0.0002,-0.0013,-0.0041,-0.0057,0.0,0.0027,-0.0,-0.0013,-0.0023,-0.0008,0.0014,-0.0019,-0.0021,-0.0041,-0.0009,-0.0033,-0.002,-0.0007,0.0013,-0.001,0.0025,-0.0045,0.002,-0.004,-0.0031,0.0026,0.0006,-0.0011,-0.0037,0.0038,-0.0023,1.0,-0.0034
candidate.division.Zixibacteria,-0.0006,0.001,0.0019,-0.0013,0.0003,0.005,-0.0033,-0.0045,-0.0011,-0.0027,0.0013,-0.0014,0.0011,-0.0018,0.0001,0.0019,0.0014,-0.0033,-0.001,0.0003,-0.0037,0.0036,-0.0023,-0.0012,0.0006,-0.0041,-0.0006,0.0015,0.0025,0.0007,0.0026,-0.0022,-0.0008,-0.0009,-0.0042,0.0004,-0.0022,-0.0013,0.0007,0.0025,-0.0045,0.0019,-0.0039,-0.0008,-0.0013,-0.0024,-0.002,-0.0021,-0.0037,-0.0021,0.001,0.0035,-0.0008,-0.0019,-0.001,0.0006,-0.0025,-0.0028,-0.0029,-0.0019,-0.0029,0.0013,0.0006,-0.0019,0.0019,-0.0061,-0.0016,-0.0022,-0.0005,0.0016,-0.0006,-0.0028,-0.0076,0.0024,-0.0041,0.0002,-0.0019,-0.0062,-0.0035,0.0006,-0.0004,-0.0019,-0.0017,-0.0022,0.0005,-0.0044,-0.0011,-0.0012,0.0004,-0.0009,0.0014,-0.0037,-0.0006,-0.0027,-0.0013,-0.0048,-0.0017,-0.0034,1.0
