#OTU ID	mgm4600622	mgm4600634	mgm4600636	mgm4600639	mgm4600829	mgm4600830	mgm4600831
Candidatus.Desantisbacteria	0.0	0.0	0.0	0.0004743833017077	3.08458557576278e-05	6.45705185758693e-06	8.6297106592505e-06
Candidatus.Edwardsbacteria	0.0	0.0	0.0	0.0	1.35301140027777e-05	2.34722560769038e-05	1.51300121947898e-06
Candidatus.Lindowbacteria	0.0	0.0	0.0	0.0	5.334930961717e-05	4.17090647017102e-05	1.41213447151372e-05
Candidatus.Ratteibacteria	0.0	0.0	0.0	0.0	2.77612701818651e-05	2.22506516714144e-06	1.12074164405851e-07
Candidatus.Dadabacteria	0.0	0.0	0.0	0.0	3.5472734121272e-05	1.79750362522014e-05	4.2027811652194e-06
Candidatus.Firestonebacteria	0.0	0.0	0.0	0.0	1.97693893719342e-05	1.61426296439673e-06	1.73714954829068e-06
Candidatus.Raymondbacteria	0.0	0.0	0.0	0.0	6.94031754546627e-06	1.23469302411966e-05	7.45293193298906e-06
Candidatus.Riflebacteria	0.0	0.0	0.0	0.0	1.58435531845998e-05	1.22596727836617e-05	1.56903830168191e-06
Candidatus.Wallbacteria	0.0	0.0	0.0	0.0	5.18771210469196e-06	6.36979440005197e-06	1.03668602075412e-05
candidate.division.CPR1	0.0	0.0	0.0	0.0	9.11354829202641e-07	1.65789169316421e-06	9.69441522110608e-06
Candidatus.Coatesbacteria	0.0	0.0	0.0	0.0	2.00498062424581e-05	3.48157255564484e-05	1.21040097558319e-05
Candidatus.Bipolaricaulota	0.0	0.0002102165230187	0.0	0.0	2.92334587521155e-05	3.2503402931772e-05	1.55783088524132e-05
Candidatus.Blackallbacteria	0.0	0.0	0.0	0.0	1.47218857025042e-05	5.71536346853978e-06	5.04333739826328e-07
candidate.division.CPR2	0.0	0.0	0.0	0.0	2.10312652892917e-07	4.36287287674793e-07	3.92259575420477e-07
Candidatus.Fraserbacteria	0.0	0.0	0.0	0.0	6.44958802204946e-06	8.68211702472837e-06	9.5263039744973e-07
Candidatus.Fischerbacteria	0.0	0.0	0.0	0.0	1.05156326446459e-06	1.57063423562925e-06	5.60370822029253e-08
Candidatus.Sumerlaeota	0.0	0.0	0.0	0.0	5.88875428100168e-06	1.02091225315901e-05	2.85789119234919e-06
candidate.division.WOR.3	0.0	0.0	0.0	0.0	6.30937958678751e-07	7.41688389047147e-07	1.68111246608776e-07
Candidatus.Wirthbacteria	0.0	0.0	0.0	0.0	2.52375183471501e-06	6.10802202744709e-06	6.16407904232178e-07
Candidatus.Abawacabacteria	0.0	0.0	0.0	0.0	7.01042176309724e-07	2.74860991235119e-06	5.60370822029253e-08
Candidatus.Absconditabacteria	0.0	0.0	0.0	0.0	8.1320892451928e-06	1.83240660823413e-06	2.80185411014626e-06
candidate.division.CPR3	0.0	0.0	0.0	0.0	0.0	1.74514915069917e-07	2.24148328811701e-07
Candidatus.Delongbacteria	0.0	0.0	0.0	0.0	4.20625305785834e-07	4.79916016442272e-07	1.07591197829617e-05
Candidatus.Calescamantes	0.0	0.0	0.0	0.0	2.8041687052389e-07	3.49029830139834e-07	0.0
Planctomycetota	0.0010686615014694	0.0025225982762245	0.001180358829084	0.0066413662239089	0.003627472637097	0.0042718197198102	0.0016562320015896
Candidatus.Omnitrophica	0.0002671653753673	0.0004204330460374	0.0	0.0004743833017077	0.0003883773656755	0.000333236230326	0.0001024918233491
Verrucomicrobiota	0.0	0.0004204330460374	0.0001180358829084	0.0004743833017077	0.0009052557622687	0.0008087457451627	0.0003654738501274
Lentisphaerota	0.0002671653753673	0.0004204330460374	0.0	0.0	0.0001710542910195	0.0001362961486696	6.79729807121484e-05
Chlamydiota	0.0	0.0	0.0	0.0004743833017077	6.02195229450053e-05	2.69625543783022e-05	1.17117501804114e-05
Kiritimatiellota	0.0002671653753673	0.0002102165230187	0.0	0.0004743833017077	5.22276421350744e-05	3.81751376715443e-05	2.53847982379252e-05
Thermodesulfobacteriota	0.0002671653753673	0.0014715156611309	0.0003541076487252	0.0023719165085389	0.0021913176347089	0.0023764132272358	0.0010607819661013
Nitrospirota	0.0	0.0008408660920748	0.0001180358829084	0.0	0.0006127809663123	0.0004922193179547	0.0002252690704557
Campylobacterota	0.0	0.0002102165230187	0.0	0.0014231499051233	0.0002488699725899	0.0001520897484834	7.6490617206993e-05
Bacteroidota	0.129575207053166	0.0264872819003574	0.016052880075543	0.0616698292220114	0.0075080214998418	0.0047655224145429	0.0369472095942657
Ignavibacteriota	0.0	0.0004204330460374	0.0	0.0004743833017077	6.65990067494238e-05	7.08966842471538e-05	5.35154135037937e-05
Chlorobiota	0.0005343307507347	0.0002102165230187	0.0	0.0	0.0001416105196145	0.0001420987695956	0.0001258592866277
Balneolota	0.0	0.0	0.0	0.0	4.41656571075126e-06	1.574997108506e-05	1.52420863591957e-05
Gemmatimonadota	0.0005343307507347	0.0	0.0001180358829084	0.0009487666034155	0.0025105722418003	0.0024806858889901	0.0003136395490897
candidate.division.Zixibacteria	0.0	0.0	0.0	0.0	3.92583618733445e-05	1.82368086248063e-05	1.59705684278337e-05
Candidatus.Marinimicrobia	0.0	0.0	0.0	0.0	1.94188682837793e-05	1.33067622740812e-05	2.63374286353749e-06
Candidatus.Hydrogenedentes	0.0	0.0	0.0	0.0	1.40208435261945e-07	1.43974804932682e-06	1.12074164405851e-07
Fibrobacterota	0.0	0.0	0.0	0.0	3.64541931681056e-06	3.3594121150959e-06	2.40959453472579e-06
Candidatus.Cloacimonetes	0.0	0.0	0.0	0.0	2.8041687052389e-07	1.91966406576909e-06	3.92259575420477e-07
Elusimicrobiota	0.000801496126102	0.0004204330460374	0.0	0.0	0.0007255085482629	0.0006878941664768	0.0002859011933993
Acidobacteriota	0.0002671653753673	0.0010510826150935	0.0004721435316336	0.0014231499051233	0.0021817133568934	0.0022779868151363	0.000790627192801
Myxococcota	0.0018701576275714	0.0018919487071683	0.0018885741265344	0.0056925996204933	0.0058441679985883	0.0055320355502588	0.0023113054925418
Nitrospinota	0.0	0.0	0.0	0.0	5.22977463527054e-05	3.54701564879606e-05	9.91856354991778e-06
Candidatus.Tectomicrobia	0.0	0.0	0.0	0.0	0.0001224720682013	0.0001212442372448	4.77435940368923e-05
Spirochaetota	0.0	0.0002102165230187	0.0003541076487252	0.0014231499051233	0.0005137938110173	0.000421977064639	0.0001974746776831
Bdellovibrionota	0.0	0.0	0.0001180358829084	0.0	0.0001045253884877	6.12547351895409e-05	2.78504298548539e-05
Synergistota	0.0	0.0006306495690561	0.0	0.0014231499051233	0.0002244737048543	0.000223466348747	0.0001166692051464
Caldisericota	0.0	0.0	0.0	0.0	2.10312652892917e-07	3.92658558907313e-07	3.36222493217552e-07
Fusobacteriota	0.0	0.0	0.0	0.0	4.17821137080595e-05	1.51827976110828e-05	1.17117501804114e-05
Thermotogota	0.0	0.0	0.0001180358829084	0.0	5.85370217218619e-05	3.4772096827681e-05	1.5746420099022e-05
Atribacterota	0.0	0.0	0.0	0.0	6.87021332783529e-06	9.68557778638039e-06	1.40092705507313e-06
Chrysiogenota	0.0	0.0	0.0	0.0	2.66396026997695e-06	8.94388939733325e-06	4.14674408301647e-06
Aquificota	0.0	0.0	0.0	0.0	1.42311561790874e-05	3.00601941207932e-05	1.1991935591426e-05
Calditrichota	0.0	0.0	0.0	0.0	4.97739945179904e-06	4.93004635072516e-06	3.58637326098722e-06
Deferribacterota	0.0	0.0	0.0	0.0	9.04344407439544e-06	1.04272661754275e-05	1.40092705507313e-06
Dictyoglomota	0.0	0.0	0.0	0.0	3.50521088154862e-07	3.92658558907313e-07	1.12074164405851e-07
Coprothermobacterota	0.0	0.0	0.0	0.0	1.40208435261945e-07	8.90026066856577e-06	1.12074164405851e-07
Nitrososphaerota	0.0	0.0002102165230187	0.0	0.0004743833017077	5.52421234932062e-05	8.47269912664447e-05	2.52166869913164e-05
Candidatus.Bathyarchaeota	0.0	0.0	0.0	0.0	7.43104706888307e-06	8.98751812610072e-06	6.61237569994518e-06
Thermoproteota	0.0	0.0	0.0	0.0	7.84466195290581e-05	9.15330729541715e-05	0.0001133630172965
Candidatus.Korarchaeota	0.0	0.0	0.0	0.0	7.01042176309724e-08	3.92658558907313e-07	9.5263039744973e-07
Euryarchaeota	0.76890195030724	0.731973933151146	0.785764872521246	0.650379506641366	0.0048911712641129	0.0045343774095328	0.840488428174414
Candidatus.Woesearchaeota	0.0	0.0	0.0	0.0	2.8041687052389e-06	4.49375906305036e-06	1.90526079489946e-06
Nanoarchaeota	0.0	0.0	0.0	0.0	0.0	2.61772372604876e-07	0.0
Candidatus.Micrarchaeota	0.0	0.0	0.0	0.0	1.21280296501582e-05	1.37866782905234e-05	1.59145313456308e-05
Candidatus.Diapherotrites	0.0	0.0	0.0	0.0	7.01042176309724e-07	0.0	1.68111246608776e-07
Candidatus.Altiarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	3.36222493217552e-07
Candidatus.Aenigmarchaeota	0.0	0.0	0.0	0.0	0.0	0.0	1.06470456185558e-06
Candidatus.Nanohaloarchaeota	0.0	0.0	0.0	0.0004743833017077	7.01042176309724e-08	1.74514915069917e-07	0.0001641886508545
Candidatus.Thermoplasmatota	0.0	0.0	0.0	0.0	1.28290718264679e-05	5.8898783836097e-06	1.13194906049909e-05
Candidatus.Heimdallarchaeota	0.0	0.0	0.0	0.0	6.30937958678751e-07	3.49029830139834e-07	1.12074164405851e-07
Candidatus.Lokiarchaeota	0.0	0.0	0.0	0.0	4.83719101653709e-06	2.87949609865363e-06	8.96593315246805e-07
Candidatus.Odinarchaeota	0.0	0.0	0.0	0.0	7.01042176309724e-08	4.36287287674792e-08	9.5263039744973e-07
Candidatus.Thorarchaeota	0.0	0.0	0.0	0.0	7.01042176309724e-08	5.23544745209751e-07	9.5263039744973e-07
