#OTU ID	mgm4665263	mgm4665264	mgm4665265	mgm4665266	mgm4665267	mgm4665270	mgm4665271	mgm4665272	mgm4665273	mgm4665276	mgm4665277	mgm4665278	mgm4665279	mgm4665280	mgm4665281	mgm4665282	mgm4665283	mgm4665284	mgm4665285	mgm4665286	mgm4665287	mgm4665288	mgm4665289	mgm4665291	mgm4665292	mgm4665293	mgm4665294	mgm4665295	mgm4665296	mgm4665297	mgm4665298
Pseudomonadota	0.108778085834469	0.140797527988658	0.153162745040435	0.0886623001482344	0.142699259205329	0.0932471745462532	0.170387091900443	0.0657567841339233	0.137604295091486	0.162634979306535	0.188364779180518	0.180214176440592	0.0858128632381086	0.117890967993559	0.167442309910258	0.103957893037745	0.130718352316855	0.110076194152627	0.192107399917285	0.28107325435589	0.166615208490493	0.0958623016777413	0.0845277205238842	0.172523961661342	0.140761254537232	0.196819567740553	0.0930642480804411	0.139219514124517	0.116067656168785	0.169033907658042	0.076984477494783
Actinomycetota	0.0301346200784814	0.0507803378074007	0.0548882470751155	0.0240831303933506	0.050196392493766	0.0456258123517064	0.0541857561201047	0.0245321746547955	0.0477851549392421	0.0394471532041197	0.0532105059204078	0.0336789619808488	0.035212368092989	0.0484194614533025	0.0447727464005062	0.0317622083367291	0.0685908587581028	0.0501833622852731	0.0581458659796553	0.0629072000420901	0.066666454468002	0.058420154478151	0.0370957562630251	0.0443765745731939	0.0476584479563945	0.0688114660032698	0.0474927370543226	0.053453460240687	0.044737330046476	0.0508394307302144	0.0191146524291885
Chloroflexota	0.0012899439309007	0.0018041404080747	0.0017231720548294	0.0007999033829212	0.002278080122313	0.0015292914672917	0.0017605993681039	0.0012146576389259	0.0012351404237029	0.0013825272351711	0.0019853568899604	0.0012408635050144	0.0015934191350762	0.001682807025477	0.0015242714512373	0.0013103038464855	0.0019289298137857	0.0017233297488074	0.0017880382611731	0.0020639506844029	0.0020975837999051	0.0020914386311344	0.0015720722180804	0.0015941600634286	0.0019159426437807	0.00209505182697	0.0015878084760669	0.0016668597210411	0.0014575043998699	0.0014024498343278	0.0006609687681568
Bacillota	0.0962416388337794	0.15119299255293	0.169394600322348	0.0723796753401451	0.134211608816731	0.168717123383848	0.160510493829904	0.142876437241208	0.124746920632048	0.105740086247273	0.120611901699833	0.0868583205847357	0.153513423349077	0.159303040115245	0.132376273732969	0.104378044814607	0.224387474138925	0.196137903144273	0.159392465386994	0.143002297419349	0.237744200875744	0.274113755900039	0.153014393660612	0.156358108963984	0.186954981851071	0.199771785112514	0.192677557812751	0.144987602142244	0.117083653761395	0.115069968513545	0.0499074173436324
Cyanobacteriota	0.0059726837857177	0.0034056445865994	0.005693255113546	0.0019021487373603	0.0028976538468539	0.0051243415675642	0.0038429236081177	0.0146683016118427	0.0037491564021068	0.0031971796991396	0.0030478904847726	0.0029838801065216	0.0137016487278984	0.003196848855021	0.0032612863105461	0.0043526458088871	0.0027512630501891	0.0052205402523873	0.0031501724484646	0.0044775563174647	0.0040232866814569	0.0036102885573261	0.0061595867804838	0.0107275055945729	0.0052906029766645	0.0035646338717449	0.0031274566390473	0.0032414300337986	0.0034955788526598	0.0038519512363614	0.0015767482645294
Candidatus Melainabacteria	0.0002266963458078	0.0001152540636473	0.0002583238530167	9.76097199428239e-05	0.0001579876594892	0.0001845231022924	0.0002106320293996	0.0003305432638481	0.0001493026885794	0.0003035816480791	0.0002360368746953	0.0003966230381324	0.0003801380085333	0.0001178933904604	0.0002314461252645	0.0001717004436517	4.6410341384319e-05	0.0001966893686638	8.53705270586628e-05	0.0004757061056988	7.10865526523242e-05	0.0002021375034327	0.000264077625475	0.0002355115808832	0.0001490733440852	7.50563738634126e-05	0.0003000757969235	7.06296491966584e-05	0.0003890731244699	0.0002030847237839	0.0001021808121536
Candidatus Margulisbacteria	3.82463160105337e-05	1.43125961392149e-05	2.02606943542562e-05	1.15808142305045e-05	1.4561074607306e-05	2.52031554350605e-05	2.13298257619858e-05	8.17472588011587e-05	6.03243186179699e-06	1.2307364111316e-05	5.88253893321627e-06	2.54971953085161e-05	5.53087633662845e-05	2.09947133696757e-05	1.71441574270049e-05	4.27272993419205e-05	1.52283932667297e-05	3.12497127783752e-05	1.80226668234955e-05	2.08258433370454e-05	1.80368864938733e-05	2.65758470648588e-05	5.3387534392059e-05	2.81487945278743e-05	2.80137827811283e-05	1.74043765480377e-05	2.74143320646178e-05	1.22424725274208e-05	3.34359716341375e-05	1.66462888347515e-06	8.12316079882308e-06
Deinococcota	0.0006481012094875	0.0009634637085292	0.0009208485584009	0.0005132782307162	0.0009923372344879	0.0007380924091696	0.0010549376324782	0.000647758170283	0.0009659431518702	0.000911428686688	0.0011228296188776	0.0008371579126296	0.0007795901884009	0.0008268687111749	0.0009187709821108	0.0006369532587082	0.0010819410835219	0.000861205319804	0.001084205693645	0.001416157346919	0.0011978614618578	0.0009309599759689	0.0007931862252534	0.0008838721481752	0.0010064951956362	0.0012900994116233	0.0008002021251293	0.000843788875736	0.0007340715590585	0.0010944934908849	0.0004271072441065
Armatimonadota	0.0001627206899357	0.0002455740179675	0.0003120146930555	0.0001005049235004	0.0002111355818059	0.0002817352732562	0.0002559579091438	0.0001617174032805	0.000459972929462	0.0002270024936087	0.0002139773536957	0.0001968950082157	0.0002431829754358	0.0001978347990604	0.0002026127695918	0.0001653704733789	0.0002777368867217	0.0002711372138123	0.0002124777562348	0.0002948500977718	0.0002822242239629	0.0002649531419496	0.0002440573000779	0.0002251903562229	0.0002751353666003	0.0002969621748508	0.0002504336280497	0.0002231896914614	0.0001907370200038	0.0005351781860372	9.70503948069916e-05
Mycoplasmatota	0.0023823977936743	0.0007389819375036	0.0018214364224476	0.0005434710678172	0.0009399173659016	0.0019955498428403	0.0010176104373947	0.00539887330952	0.0006258648056614	0.0012881707769844	0.0011595954872102	0.0015532041475437	0.0043755377240882	0.0009907889732535	0.0009694241745088	0.0017130482050973	0.0006569963952217	0.0022260824808595	0.0008404254108219	0.0016463377206443	0.0016020999179852	0.001340066955028	0.0024319928613239	0.0028270772637495	0.0017618668384845	0.0013412247677331	0.0013121832996334	0.0011451420456418	0.0015935280117451	0.0007382629098212	0.000469860721995
