#OTU ID	mgm4550584	mgm4550585	mgm4550586	mgm4550588	mgm4550589	mgm4550590	mgm4550592	mgm4550593	mgm4550594	mgm4550596	mgm4540030	mgm4540031	mgm4540032	mgm4540033	mgm4540034	mgm4540035	mgm4540036	mgm4540037	mgm4540038	mgm4540039	mgm4540040	mgm4540041	mgm4540042	mgm4540043	mgm4537983	mgm4544079
Pseudomonadota	0.11345081921063001	0.209281490772263	0.17479546884833203	0.138526727509778	0.112660635048695	0.103995120463556	0.119506624029237	0.18479267414343	0.10944743432621099	0.12840389584575598	0.19392656790621102	0.433602709628909	0.561134928451422	0.423010673426253	0.10802139037433198	0.48086500716482794	0.0692066142785638	0.14939792693644	0.154746089565031	0.10051876640583199	0.10916790933492401	0.0863276541681598	0.300206132910122	0.274129220951874	0.136123203342813	0.399680102043399
Actinomycetota	0.0597376273858454	0.0458699157857015	0.039490245437382006	0.0564700130378097	0.0316371808909122	0.0276913693199146	0.0535861123800822	0.0433172137051137	0.0330367133798689	0.0398860398860399	0.15630353723672302	0.133853460674855	0.14566073808006502	0.164813797979646	0.067379679144385	0.170163507451888	0.030707867867059	0.0786507045040536	0.0948360831369188	0.214211960240349	0.18388905457798999	0.0419693563974764	0.141769581106307	0.150491890454666	0.0190788298157999	0.0535525376715276
Chloroflexota	0.0038286132537582295	0.00474825300125426	0.00582127123977344	0.00497066492829205	0.00316948078142108	0.0036596523330283603	0.00424851530379169	0.00473299722193641	0.0036766664890499298	0.00443914397402769	0.00765897410057442	0.0249198941809891	0.0221742656856497	0.0202862794948363	0.0053475935828877	0.0148150914157421	0.0037461758256064205	0.0058257625579811794	0.005035354617527321	0.00296082505007278	0.00315538323889055	0.00302961201420334	0.00988708294569401	0.00638128157404945	0.00084748215945242	0.00238404964492339
Bacillota	0.543944597714093	0.243325568894463	0.17896475770925102	0.449071056062581	0.29124647035094803	0.203293687099726	0.530059387848333	0.33583702026957507	0.281931049182075	0.36612999403697105	0.40784037085558794	0.04398663120971	0.0259834308556862	0.0400121853069268	0.4231729055258471	0.0326408110492389	0.315713512943273	0.46332563160927204	0.472294836083137	0.24046129156662502	0.218389501938562	0.315633449522755	0.0380585806624224	0.26189843126828	0.0949868785006054	0.22975962098166197
Cyanobacteriota	0.00602443556106075	0.0126321447769217	0.006371932032724979	0.00749674054758801	0.0061084538696479	0.00579444952729491	0.00584741891274555	0.0106492437493569	0.00511536207172164	0.0075531703438680205	0.006953542275521521	0.00423551973069269	0.0038960662765772603	0.00373457091923849	0.0089126559714795	0.003995500394415629	0.00489763669950462	0.009323548069816029	0.00709235054638954	0.00388141771270045	0.0038890545779898603	0.00525567102105526	0.00387943352973726	0.0077107152353097595	0.658760160552451	0.0845097513198322
Candidatus Melainabacteria	0.00011260627216936	8.95896792689482e-05	7.866582756450601e-05	8.148631029986959e-05	0.0	6.0994205550472706e-05	0.00022841480127912	5.14456219775697e-05	5.3285021580433704e-05	0.0001987676406281	0.0	7.588064664107421e-05	2.8967035513585496e-05	8.27397383919908e-05	0.0	0.00013536157878277	0.00019752155341723	0.00031427690122975	0.00019284336833083	0.0001244044138686	0.00014315538323888998	0.00018460001520235	0.00013377356999093998	0.0	0.00010181764459851999	0.00024296047336797998
Candidatus Margulisbacteria	0.0	0.00017917935853788998	7.866582756450601e-05	0.00016297262059973	0.0	0.0	9.136592051164921e-05	5.14456219775697e-05	0.0001598550647413	0.0001987676406281	0.0	2.0694721811202103e-05	2.8967035513585496e-05	4.51307663956313e-05	0.0	1.40029219430454e-05	6.284776699639301e-05	6.40193687690239e-05	6.42811227769445e-05	1.24404413868604e-05	3.5788845809722605e-05	7.60117709656753e-05	3.040308408885e-05	0.0	2.99463660583894e-05	6.0740118341997204e-05
Deinococcota	0.00180170035470976	0.0025981006987995	0.00298930144745123	0.00228161668839635	0.00201694231544978	0.00189082037206465	0.00182731841023298	0.0023664986109682104	0.00191826077689561	0.00145762936460611	0.00319123920857268	0.0020108371359884697	0.00241874746538439	0.0020496889738015897	0.0021390374331550803	0.00233848796448859	0.00181136242736033	0.00375386298691095	0.00272123419755732	0.00151773384919697	0.0015389203698180699	0.0022043413580045803	0.00232887624120591	0.00265886732252061	0.00058595056254248	0.00175640175538942
Armatimonadota	0.0007319407691008299	0.0006271277548826299	0.0007866582756450599	0.0011408083441981698	0.00063389615628421	0.00048795364440377997	0.00050251256281407	0.0005659018417532599	0.0009591303884478	0.0006625588020936799	0.0005374718667069701	0.00096575368452276	0.00105729679624587	0.00069576598193265	0.0	0.00096153397342245	0.00057909728160962	0.00089045122015096	0.00064281122776944	0.0006095816279561599	0.0004771846107963	0.00048864709906505	0.00085736697130556	0.00026588673225206	0.00010680870560825	0.00030370059170997996
Mycoplasmatota	0.0028151568042340002	0.00143343486830317	0.0015733165512901198	0.0026890482398957	0.00195931539215121	0.00170783775541324	0.0022384650525354	0.00226360736701307	0.00229125592795865	0.0035115616510965303	0.00157882360845175	0.00036905587229977004	0.00024621980186547	0.0005490909911468401	0.00249554367201426	0.00026138787627018	0.0018293189322164398	0.00382370229829534	0.00257124491107778	0.00176654267693418	0.0017417238294065	0.00228035312897026	0.0008512863544877901	0.00212709385801649	0.0012228099473842301	0.00260676341217738
